# source=BookTable5.7 | nipa_refs=1.7.5,6.2D,6.4B | methodology=Shaikh-Tonak1994 | period=1948-1989 | benchmark_years=1948,1958,1967,1977,1989
,T506A,T511A,T512A,T506,T511,T512
1948,1.70,0.57,0.54,1.70,0.57,0.54
1949,1.713,0.565,0.535,1.713,0.565,0.535
1950,1.726,0.560,0.530,1.726,0.560,0.530
1951,1.739,0.555,0.525,1.739,0.555,0.525
1952,1.752,0.550,0.520,1.752,0.550,0.520
1953,1.765,0.545,0.515,1.765,0.545,0.515
1954,1.778,0.540,0.510,1.778,0.540,0.510
1955,1.791,0.535,0.505,1.791,0.535,0.505
1956,1.804,0.530,0.500,1.804,0.530,0.500
1957,1.817,0.525,0.495,1.817,0.525,0.495
1958,1.83,0.52,0.49,1.83,0.52,0.49
1959,1.86,0.519,0.485,1.86,0.519,0.485
1960,1.89,0.518,0.480,1.89,0.518,0.480
1961,1.92,0.517,0.476,1.92,0.517,0.476
1962,1.95,0.516,0.472,1.95,0.516,0.472
1963,1.98,0.514,0.468,1.98,0.514,0.468
1964,2.01,0.513,0.464,2.01,0.513,0.464
1965,2.04,0.512,0.460,2.04,0.512,0.460
1966,2.07,0.511,0.456,2.07,0.511,0.456
1967,2.10,0.51,0.452,2.10,0.51,0.452
1968,2.10,0.509,0.448,2.10,0.509,0.448
1969,2.10,0.508,0.444,2.10,0.508,0.444
1970,2.10,0.507,0.440,2.10,0.507,0.440
1971,2.10,0.506,0.436,2.10,0.506,0.436
1972,2.10,0.505,0.432,2.10,0.505,0.432
1973,2.10,0.504,0.428,2.10,0.504,0.428
1974,2.10,0.503,0.424,2.10,0.503,0.424
1975,2.10,0.502,0.420,2.10,0.502,0.420
1976,2.10,0.501,0.416,2.10,0.501,0.416
1977,2.10,0.50,0.412,2.10,0.50,0.412
1978,2.128,0.488,0.408,2.128,0.488,0.408
1979,2.157,0.477,0.404,2.157,0.477,0.404
1980,2.185,0.465,0.400,2.185,0.465,0.400
1981,2.213,0.453,0.396,2.213,0.453,0.396
1982,2.242,0.442,0.391,2.242,0.442,0.391
1983,2.27,0.43,0.387,2.27,0.43,0.387
1984,2.298,0.418,0.382,2.298,0.418,0.382
1985,2.327,0.407,0.378,2.327,0.407,0.378
1986,2.355,0.395,0.373,2.355,0.395,0.373
1987,2.383,0.383,0.369,2.383,0.383,0.369
1988,2.412,0.372,0.364,2.412,0.372,0.364
1989,2.44,0.36,0.36,2.44,0.36,0.36
