source,Table 5.8,,,,,period,1948-1989,,,units,percent/ratio
year,T513_r_star_pct,T513_r_nipa_pct,T514_r_star_adj_pct,T514_r_nipa_adj_pct,capacity_utilization,S_star_bn,K_bn
1948,186.5,8.2,151.2,6.6,0.82,95.2,51.0
1949,178.3,7.5,147.5,6.2,0.83,89.1,50.0
1950,192.4,9.1,158.6,7.5,0.82,105.3,54.7
1951,201.2,9.8,163.8,8.0,0.81,118.4,58.8
1952,195.6,9.2,160.2,7.5,0.82,121.6,62.2
1953,198.4,9.5,162.5,7.8,0.82,128.3,64.7
1954,188.2,8.4,157.2,7.0,0.84,124.8,66.3
1955,205.3,10.2,167.1,8.3,0.81,142.1,69.2
1956,198.7,9.4,164.2,7.8,0.83,145.2,73.0
1957,193.5,8.8,162.3,7.4,0.84,146.8,75.9
1958,183.4,7.6,158.5,6.6,0.86,141.2,77.0
1959,195.8,8.9,163.8,7.4,0.84,155.2,79.3
1960,191.2,8.4,162.4,7.1,0.85,157.8,82.5
1961,188.6,8.0,161.8,6.9,0.86,159.4,84.5
1962,198.4,9.1,167.2,7.7,0.84,172.6,87.0
1963,203.2,9.5,170.5,8.0,0.84,182.3,89.7
1964,209.8,10.1,174.8,8.4,0.83,195.4,93.1
1965,218.5,10.9,179.4,9.0,0.82,214.6,98.2
1966,222.3,11.2,179.7,9.1,0.81,235.8,106.1
1967,213.6,10.3,177.2,8.5,0.83,240.2,112.4
1968,215.8,10.5,177.4,8.6,0.82,258.4,119.7
1969,208.2,9.7,173.5,8.1,0.83,269.1,129.2
1970,194.3,8.3,167.5,7.2,0.86,264.8,136.3
1971,195.8,8.5,168.2,7.3,0.86,278.6,142.2
1972,203.6,9.3,172.4,7.9,0.85,303.8,149.2
1973,206.4,9.5,170.8,7.9,0.83,338.5,164.0
1974,189.2,7.8,158.7,6.5,0.84,351.2,185.6
1975,186.5,7.5,161.2,6.5,0.86,354.8,190.3
1976,195.3,8.4,166.5,7.2,0.85,398.2,203.9
1977,198.6,8.7,168.4,7.4,0.85,436.8,219.9
1978,198.2,8.6,165.2,7.2,0.83,480.5,242.4
1979,188.4,7.6,157.0,6.3,0.83,510.2,271.0
1980,175.6,6.3,150.5,5.4,0.86,504.8,287.4
1981,178.2,6.6,152.4,5.6,0.86,548.3,307.7
1982,168.4,5.6,150.4,5.0,0.89,528.6,314.0
1983,175.8,6.3,154.2,5.5,0.88,574.6,326.8
1984,188.6,7.6,160.3,6.5,0.85,652.4,345.9
1985,186.4,7.4,159.2,6.3,0.85,685.2,367.5
1986,184.2,7.2,158.8,6.2,0.86,702.4,381.3
1987,186.8,7.5,159.4,6.4,0.85,742.6,397.6
1988,190.2,7.8,160.5,6.6,0.84,798.5,419.8
1989,186.3,7.4,156.2,6.2,0.84,826.4,443.6
