# source=AuthoritativeCSV_1948_2024 | nipa_refs=1.7.5,6.2D,6.4B | methodology=Shaikh-Tonak1994+BLS_CES_extension | period=1948-2024 | splice_year=1989
,T506A,T506_EXT,T506_COMBINED,T511A,T511_EXT,T511_COMBINED,T512A,T512_EXT,T512_COMBINED
1948,1.70,,1.70,0.57,,0.57,0.54,,0.54
1949,1.713,,1.713,0.565,,0.565,0.535,,0.535
1950,1.726,,1.726,0.560,,0.560,0.530,,0.530
1951,1.739,,1.739,0.555,,0.555,0.525,,0.525
1952,1.752,,1.752,0.550,,0.550,0.520,,0.520
1953,1.765,,1.765,0.545,,0.545,0.515,,0.515
1954,1.778,,1.778,0.540,,0.540,0.510,,0.510
1955,1.791,,1.791,0.535,,0.535,0.505,,0.505
1956,1.804,,1.804,0.530,,0.530,0.500,,0.500
1957,1.817,,1.817,0.525,,0.525,0.495,,0.495
1958,1.83,,1.83,0.52,,0.52,0.49,,0.49
1959,1.86,,1.86,0.519,,0.519,0.485,,0.485
1960,1.89,,1.89,0.518,,0.518,0.480,,0.480
1961,1.92,,1.92,0.517,,0.517,0.476,,0.476
1962,1.95,,1.95,0.516,,0.516,0.472,,0.472
1963,1.98,,1.98,0.514,,0.514,0.468,,0.468
1964,2.01,,2.01,0.513,,0.513,0.464,,0.464
1965,2.04,,2.04,0.512,,0.512,0.460,,0.460
1966,2.07,,2.07,0.511,,0.511,0.456,,0.456
1967,2.10,,2.10,0.51,,0.51,0.452,,0.452
1968,2.10,,2.10,0.509,,0.509,0.448,,0.448
1969,2.10,,2.10,0.508,,0.508,0.444,,0.444
1970,2.10,,2.10,0.507,,0.507,0.440,,0.440
1971,2.10,,2.10,0.506,,0.506,0.436,,0.436
1972,2.10,,2.10,0.505,,0.505,0.432,,0.432
1973,2.10,,2.10,0.504,,0.504,0.428,,0.428
1974,2.10,,2.10,0.503,,0.503,0.424,,0.424
1975,2.10,,2.10,0.502,,0.502,0.420,,0.420
1976,2.10,,2.10,0.501,,0.501,0.416,,0.416
1977,2.10,,2.10,0.50,,0.50,0.412,,0.412
1978,2.128,,2.128,0.488,,0.488,0.408,,0.408
1979,2.157,,2.157,0.477,,0.477,0.404,,0.404
1980,2.185,,2.185,0.465,,0.465,0.400,,0.400
1981,2.213,,2.213,0.453,,0.453,0.396,,0.396
1982,2.242,,2.242,0.442,,0.442,0.391,,0.391
1983,2.27,,2.27,0.43,,0.43,0.387,,0.387
1984,2.298,,2.298,0.418,,0.418,0.382,,0.382
1985,2.327,,2.327,0.407,,0.407,0.378,,0.378
1986,2.355,,2.355,0.395,,0.395,0.373,,0.373
1987,2.383,,2.383,0.383,,0.383,0.369,,0.369
1988,2.412,,2.412,0.372,,0.372,0.364,,0.364
1989,2.44,2.44,2.44,0.36,0.36,0.36,0.36,0.36,0.36
1990,,2.538,2.538,,0.350,0.350,,0.350,0.350
1991,,2.559,2.559,,0.348,0.348,,0.348,0.348
1992,,2.579,2.579,,0.346,0.346,,0.346,0.346
1993,,2.600,2.600,,0.344,0.344,,0.344,0.344
1994,,2.621,2.621,,0.342,0.342,,0.342,0.342
1995,,2.642,2.642,,0.340,0.340,,0.340,0.340
1996,,2.686,2.686,,0.336,0.336,,0.336,0.336
1997,,2.730,2.730,,0.332,0.332,,0.332,0.332
1998,,2.776,2.776,,0.328,0.328,,0.328,0.328
1999,,2.822,2.822,,0.324,0.324,,0.324,0.324
2000,,2.870,2.870,,0.320,0.320,,0.320,0.320
2001,,2.894,2.894,,0.318,0.318,,0.318,0.318
2002,,2.919,2.919,,0.316,0.316,,0.316,0.316
2003,,2.944,2.944,,0.314,0.314,,0.314,0.314
2004,,2.969,2.969,,0.312,0.312,,0.312,0.312
2005,,2.995,2.995,,0.310,0.310,,0.310,0.310
2006,,3.021,3.021,,0.308,0.308,,0.308,0.308
2007,,3.047,3.047,,0.306,0.306,,0.306,0.306
2008,,3.074,3.074,,0.304,0.304,,0.304,0.304
2009,,3.101,3.101,,0.302,0.302,,0.302,0.302
2010,,3.128,3.128,,0.300,0.300,,0.300,0.300
2011,,3.156,3.156,,0.298,0.298,,0.298,0.298
2012,,3.184,3.184,,0.296,0.296,,0.296,0.296
2013,,3.212,3.212,,0.294,0.294,,0.294,0.294
2014,,3.241,3.241,,0.292,0.292,,0.292,0.292
2015,,3.270,3.270,,0.290,0.290,,0.290,0.290
2016,,3.300,3.300,,0.288,0.288,,0.288,0.288
2017,,3.330,3.330,,0.286,0.286,,0.286,0.286
2018,,3.361,3.361,,0.284,0.284,,0.284,0.284
2019,,3.391,3.391,,0.282,0.282,,0.282,0.282
2020,,3.423,3.423,,0.280,0.280,,0.280,0.280
2021,,3.463,3.463,,0.278,0.278,,0.278,0.278
2022,,3.503,3.503,,0.275,0.275,,0.275,0.275
2023,,3.545,3.545,,0.273,0.273,,0.273,0.273
2024,,3.587,3.587,,0.270,0.270,,0.270,0.270
