old_id,new_id,name,status,notes
AS001,XS001,Social Burden Rate,confirmed,"confirmed; xs_class=appendix; xs_attribution=""Shaikh & Tonak (1994), derived analytical series""; AS analytical/cross-cutting ratio computed from book series (cites ST 1994), not an external study -> appendix (main-book) bucket"
AS002,XS002,Khanjian Cross-Validation,confirmed,"confirmed; xs_class=appendix; xs_attribution=""Shaikh & Tonak (1994), derived analytical series""; AS analytical/cross-cutting ratio computed from book series (cites ST 1994), not an external study -> appendix (main-book) bucket"
AS003,XS003,Unproductive Exploitation Rate,confirmed,"confirmed; xs_class=appendix; xs_attribution=""Shaikh & Tonak (1994), derived analytical series""; AS analytical/cross-cutting ratio computed from book series (cites ST 1994), not an external study -> appendix (main-book) bucket"
AS004,XS004,Marxian Productivity,confirmed,"confirmed; xs_class=appendix; xs_attribution=""Shaikh & Tonak (1994), derived analytical series""; AS analytical/cross-cutting ratio computed from book series (cites ST 1994), not an external study -> appendix (main-book) bucket"
ES1001,XS1001,Labor Share of National Income (Tonak 1984),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Tonak (1984)""; ES external-study replication (group 10)"
ES1002,XS1002,Net Tax Rate on Workers (Tonak 1984),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Tonak (1984)""; ES external-study replication (group 10)"
ES1101,XS1101,Net Transfer Rate (ST 1987),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Shaikh & Tonak (1987)""; ES external-study replication (group 11)"
ES1102,XS1102,Social Benefit Rate (ST 1987),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Shaikh & Tonak (1987)""; ES external-study replication (group 11)"
ES1103,XS1103,Social Tax Rate (ST 1987),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Shaikh & Tonak (1987)""; ES external-study replication (group 11)"
ES1201,XS1201,NSW/GDP (ST 2002),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Shaikh & Tonak (2002)""; ES external-study replication (group 12)"
ES1202,XS1202,NSW/EC (ST 2002),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Shaikh & Tonak (2002)""; ES external-study replication (group 12)"
ES1301,XS1301,NSW/GDP Extended (Moos 2017),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Moos (2017)""; ES external-study replication (group 13)"
ES1302,XS1302,NSW/EC Extended (Moos 2017),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Moos (2017)""; ES external-study replication (group 13)"
ES1304,XS1304,Moos vs ST Comparison 1959-1997 (Moos 2017),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Moos (2017)""; ES external-study replication (group 13)"
ES1305,XS1305,Post-2000 Structural Shift Indicator (Moos 2017),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Moos (2017)""; ES external-study replication (group 13)"
ES1401,XS1401,Exploitation Rate â€” Mohun Classification (Mohun 2005),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Mohun (2005)""; ES external-study replication (group 14)"
ES1402,XS1402,Productive Labor Share â€” Mohun Classification (Mohun 2005),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Mohun (2005)""; ES external-study replication (group 14)"
ES1403,XS1403,Variable Capital â€” Mohun Classification (Mohun 2005),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Mohun (2005)""; ES external-study replication (group 14)"
ES1404,XS1404,ST/Mohun Exploitation Rate Ratio (Mohun 2005),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Mohun (2005)""; ES external-study replication (group 14)"
ES1501,XS1501,Working Class Unproductive Labor (Mohun 2013),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Mohun (2013)""; ES external-study replication (group 15)"
ES1502,XS1502,Managerial Unproductive Labor (Mohun 2013),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Mohun (2013)""; ES external-study replication (group 15)"
ES1503,XS1503,Total Unproductive Labor â€” Mohun (Mohun 2013),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Mohun (2013)""; ES external-study replication (group 15)"
ES1504,XS1504,Unproductive Burden Ratio Lu/Lp (Mohun 2013),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Mohun (2013)""; ES external-study replication (group 15)"
ES1601,XS1601,Turkey Labor Share (Karabacak & Tonak 2022),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Karabacak & Tonak (2022) - Turkey""; ES external-study replication (group 16)"
ES1602,XS1602,Turkey NSW/GDP (Karabacak & Tonak 2022),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Karabacak & Tonak (2022) - Turkey""; ES external-study replication (group 16)"
ES1701,XS1701,NZ Surplus Share of Total Value (Cronin 2001),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Cronin (2001) - New Zealand""; ES external-study replication (group 17)"
ES1702,XS1702,NZ Rate of Surplus Value (Cronin 2001),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Cronin (2001) - New Zealand""; ES external-study replication (group 17)"
ES1703,XS1703,NZ Value Composition of Capital (Cronin 2001),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Cronin (2001) - New Zealand""; ES external-study replication (group 17)"
ES1704,XS1704,NZ Total Value (Cronin 2001),confirmed,"confirmed; xs_class=external_study; xs_attribution=""Cronin (2001) - New Zealand""; ES external-study replication (group 17)"
