Table,21.4 Growth rates of GDP in current prices by kind of economic activity (basic prices) 2008-2012
Source,TurkStat - National Accounts
Unit,Percent (%)
Yearbook_Page,351

Activity,2008,2009,2010,2011,2012
Agriculture hunting and forestry,13.1,8.8,17.8,11.7,8.4
Fishing,-13.1,16.0,13.4,15.7,21.1
Mining and quarrying,27.8,5.8,10.9,21.2,10.3
Manufacturing,8.4,-5.7,18.7,22.4,4.6
Electricity gas and water supply,28.0,10.6,11.6,13.0,12.4
Construction,8.9,-18.1,24.9,26.5,7.0
Wholesale and retail trade,12.8,-11.0,16.8,29.0,10.7
Hotels and restaurants,10.3,12.7,7.9,17.3,10.9
Transport storage communication,14.8,-5.7,13.5,21.6,12.7
Financial intermediation,20.6,29.2,-5.1,0.2,15.8
Ownership and dwelling,16.5,10.5,4.9,5.1,6.5
Real estate renting and business activities,17.5,11.1,16.8,15.5,15.6
Public administration defence social security,10.4,13.3,11.7,13.4,15.5
Education,13.2,14.1,15.7,16.1,15.2
Health and social work,12.0,5.6,9.1,8.1,12.4
Other community social personal service activities,9.4,0.3,16.3,14.4,3.2
Private households with employed persons,14.1,8.3,13.5,13.5,13.9
Sectoral total,13.3,1.2,13.4,17.3,9.8
Financial intermediation services indirectly measured,15.5,45.4,-10.5,-10.8,29.2
Taxes minus subsidies,9.0,-1.0,25.4,19.5,6.8
GDP at purchaser prices,12.7,0.2,15.4,18.1,9.2
