table_ref,year,expenditure_category,expenditure_subcategory,sector,value_TL
26.3,2010,Type of expenditure,Total,Total,9267589617
26.3,2010,Type of expenditure,Total,Business enterprises,3942908434
26.3,2010,Type of expenditure,Total,Government,1060683036
26.3,2010,Type of expenditure,Total,Higher education,4263998147
26.3,2010,Type of expenditure,Current expenditure,Total,7951446062
26.3,2010,Type of expenditure,Current expenditure,Business enterprises,3416372981
26.3,2010,Type of expenditure,Current expenditure,Government,818984631
26.3,2010,Type of expenditure,Current expenditure,Higher education,3716088450
26.3,2010,Type of expenditure,Labour,Total,4756600202
26.3,2010,Type of expenditure,Labour,Business enterprises,1857154076
26.3,2010,Type of expenditure,Labour,Government,532631287
26.3,2010,Type of expenditure,Labour,Higher education,2366814839
26.3,2010,Type of expenditure,Other current,Total,3194845860
26.3,2010,Type of expenditure,Other current,Business enterprises,1559218905
26.3,2010,Type of expenditure,Other current,Government,286353344
26.3,2010,Type of expenditure,Other current,Higher education,1349273611
26.3,2010,Type of expenditure,Capital expenditure,Total,1316143555
26.3,2010,Type of expenditure,Capital expenditure,Business enterprises,526535453
26.3,2010,Type of expenditure,Capital expenditure,Government,241698405
26.3,2010,Type of expenditure,Capital expenditure,Higher education,547909697
26.3,2010,Type of expenditure,Instrument and equipment,Total,847943976
26.3,2010,Type of expenditure,Instrument and equipment,Business enterprises,297053708
26.3,2010,Type of expenditure,Instrument and equipment,Government,166960665
26.3,2010,Type of expenditure,Instrument and equipment,Higher education,383929603
26.3,2010,Type of expenditure,Land and buildings,Total,468199580
26.3,2010,Type of expenditure,Land and buildings,Business enterprises,229481745
26.3,2010,Type of expenditure,Land and buildings,Government,74737740
26.3,2010,Type of expenditure,Land and buildings,Higher education,163980095
26.3,2010,Source of funds,Domestic total,Total,9190870875
26.3,2010,Source of funds,Domestic total,Business enterprises,3889913437
26.3,2010,Source of funds,Domestic total,Government,1051757219
26.3,2010,Source of funds,Domestic total,Higher education,4249200219
26.3,2010,Source of funds,Domestic - Business enterprises,Total,4181934408
