table_id,table_number,source,title_tr,title_en
chunk_001_table06,5.12,TurkStat Yearbook 2012,Seçilmiş OECD ülkelerinde sağlık harcamaları 2006-2008,Health expenditures in selected OECD countries 2006-2008

unit: percent (%)
country_tr,country_en,public_pct_2006,public_pct_2007,public_pct_2008,private_pct_2006,private_pct_2007,private_pct_2008,gdp_pct_2006,gdp_pct_2007,gdp_pct_2008
ABD,USA,45.0,45.2,46.0,55.0,54.8,54.0,15.9,16.2,16.6
Almanya,Germany,76.5,76.4,76.6,23.5,23.6,23.4,10.6,10.5,10.7
Çek Cumhuriyeti,Czech Republic,86.7,85.2,82.5,13.3,14.8,17.5,6.7,6.5,6.8
Fransa,France,78.7,78.3,76.7,21.3,21.7,23.3,11.1,11.1,11.0
İngiltere,United Kingdom,81.3,81.2,82.5,18.7,18.8,17.5,8.5,8.5,8.8
İtalya,Italy,76.6,76.6,78.9,23.4,23.4,21.1,9.0,8.6,8.9
İspanya,Spain,71.3,71.5,72.6,28.7,28.5,27.4,8.3,8.5,9.0
Japonya,Japan,79.4,80.4,80.8,20.6,19.6,19.2,8.2,8.2,8.6
Kanada,Canada,69.8,70.2,70.5,30.2,29.8,29.5,10.0,10.0,10.3
Meksika,Mexico,45.2,45.4,46.9,54.8,54.6,53.1,5.7,5.8,5.8
Portekiz,Portugal,67.0,66.7,65.3,33.0,33.3,34.7,10.0,10.0,10.2
Yunanistan,Greece,62.0,60.3,59.9,38.0,39.7,40.1,9.7,9.8,10.1
Türkiye,Turkey,68.3,67.8,73.0,31.7,32.2,27.0,5.8,6.0,6.1
