Table,21.5 Growth rates of GDP in constant prices by kind of economic activity (1998 base prices) 2008-2012
Source,TurkStat - National Accounts
Unit,Percent (%)
Yearbook_Page,352

Activity,2008,2009,2010,2011,2012
Agriculture hunting and forestry,4.6,3.7,2.4,6.2,3.5
Fishing,-5.7,-0.3,1.7,1.8,3.1
Mining and quarrying,5.4,-6.7,4.7,3.9,0.8
Manufacturing,-0.1,-7.2,13.6,10.0,1.9
Electricity gas and water supply,3.7,-3.4,7.3,8.8,3.5
Construction,-8.1,-16.1,18.3,11.5,0.6
Wholesale and retail trade,-1.5,-10.4,13.6,11.2,0.1
Hotels and restaurants,-2.0,3.7,0.3,9.7,3.4
Transport storage communication,1.5,-7.2,10.6,10.5,3.2
Financial intermediation,9.1,8.5,6.8,9.6,3.2
Ownership and dwelling,2.3,2.6,1.8,1.8,1.7
Real estate renting and business activities,6.7,4.4,7.6,9.3,6.6
Public administration defence social security,0.3,2.9,0.5,3.9,3.5
Education,1.2,2.0,0.6,5.1,4.3
Health and social work,3.3,3.1,1.2,5.3,5.3
Other community social personal service activities,1.8,-1.2,1.0,1.7,0.6
Private households with employed persons,5.6,2.3,5.4,7.8,5.6
Sectoral total,1.3,-3.6,9.1,8.9,2.4
Financial intermediation services indirectly measured,8.4,9.7,12.0,12.4,3.4
Taxes minus subsidies,-0.6,-8.2,13.1,10.5,1.4
GDP at purchaser prices,0.7,-4.8,9.2,8.8,2.2
