Table_11.5,Employed persons by major occupational groups (15+) ISCO-88,2008-2012
Unit: Thousand (Bin)
Source: TurkStat Statistical Yearbook 2012 p.182

Sex,Occupational_Group,2008,2009,2010,2011,2012
Males,TOTAL,15598,15405,16170,17137,17512
Males,Legislators senior officials and managers,1677,1661,1694,1770,1691
Males,Professionals,799,885,976,1047,1151
Males,Technicians and associate professionals,1035,919,906,969,1040
Males,Clerks,822,804,874,930,961
Males,Service workers and shop and market sales workers,2005,2054,2124,2239,2314
Males,Skilled agricultural and fishery workers,2331,2452,2599,2743,2767
Males,Craft and related trades workers,2736,2547,2702,2814,2887
Males,Plant and machine operators and assemblers,2075,1875,2102,2191,2288
Males,Elementary occupations,2118,2208,2193,2434,2413
Females,TOTAL,5595,5872,6425,6973,7309
Females,Legislators senior officials and managers,183,189,189,204,220
Females,Professionals,523,595,632,661,780
Females,Technicians and associate professionals,471,437,435,479,535
Females,Clerks,584,601,661,735,775
Females,Service workers and shop and market sales workers,548,594,634,745,867
Females,Skilled agricultural and fishery workers,1790,1852,2093,2159,2101
Females,Craft and related trades workers,287,338,378,360,321
Females,Plant and machine operators and assemblers,207,183,232,239,251
Females,Elementary occupations,1002,1083,1171,1391,1459
