table_id,table_ref,description,unit_wages,unit_earnings,year,sex,occupation_classification,occupation_group,employee_share_pct,monthly_paid_hours,hourly_avg_gross_wage_TL,monthly_avg_gross_wage_TL,annual_avg_gross_earnings_TL
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Total,100.0,199.7,5.5,1103,14252
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Legislators senior officials and managers,4.8,195.2,14.0,2738,35914
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Professionals,6.9,194.1,9.6,1860,23605
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Technicians and associate professionals,15.6,198.4,6.9,1359,17885
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Clerks,10.3,196.7,5.9,1153,14897
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Service workers and shop and market sales workers,9.4,199.5,4.0,793,10074
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Skilled agricultural and fishery workers,0.3,204.6,4.1,840,11181
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Craft and related trade workers,21.9,201.6,4.3,863,11095
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Plant and machine operators and assemblers,15.0,203.8,4.3,877,11359
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Total,ISCO-88,Elementary occupations,15.9,199.9,3.7,734,9294
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Total,100.0,200.3,5.5,1107,14316
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Legislators senior officials and managers,4.8,195.7,13.9,2723,35728
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Professionals,5.3,194.6,10.2,1982,25165
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Technicians and associate professionals,14.1,199.3,7.1,1414,18633
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Clerks,7.6,198.1,6.2,1226,15826
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Service workers and shop and market sales workers,9.6,199.7,4.0,804,10243
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Skilled agricultural and fishery workers,0.4,204.7,4.2,851,11300
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Craft and related trade workers,24.2,201.5,4.4,893,11523
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Plant and machine operators and assemblers,17.2,204.0,4.4,901,11675
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Males,ISCO-88,Elementary occupations,16.7,199.9,3.8,751,9544
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Total,100.0,197.5,5.5,1091,14036
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Legislators senior officials and managers,4.6,193.4,14.4,2790,36564
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Professionals,12.3,193.3,8.7,1685,21355
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Technicians and associate professionals,20.4,196.2,6.3,1233,16158
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Clerks,19.1,194.7,5.4,1056,13658
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Service workers and shop and market sales workers,8.4,199.0,3.8,750,9423
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Skilled agricultural and fishery workers,0.1,203.3,3.4,691,9554
