Table,21.12 Share of GDP expenditure at current prices 2008-2012
Source,TurkStat - National Accounts
Unit,Percent (%)
Yearbook_Page,357
Note,"Change in stocks estimated as residual; includes statistical discrepancy"

Category,2008,2009,2010,2011,2012
GDP,100.0,100.0,100.0,100.0,100.0
Final consumption expenditure of resident households,69.8,71.5,71.7,71.2,70.1
Final consumption resident and non-resident households on territory,73.2,75.0,74.6,74.4,73.6
Final consumption non-resident households on territory (less),3.8,4.2,3.5,3.9,4.1
Final consumption resident households abroad,0.5,0.7,0.7,0.6,0.5
Government final consumption expenditure,12.8,14.7,14.3,13.9,14.8
Government - Compensation of employees,7.0,8.0,7.9,7.8,8.3
Government - Purchases of goods and services,5.8,6.7,6.4,6.1,6.5
Gross fixed capital formation,19.9,16.9,18.9,21.8,20.3
GFCF - Public sector,3.9,3.7,4.0,3.8,3.9
GFCF - Public sector machinery and equipment,0.7,0.7,0.6,0.6,0.7
GFCF - Public sector construction,3.2,3.1,3.3,3.2,3.1
GFCF - Private sector,16.0,13.2,15.0,18.0,16.4
GFCF - Private sector machinery and equipment,9.7,8.4,9.9,12.2,10.6
GFCF - Private sector construction,6.3,4.7,5.1,5.9,5.8
Change in stocks,1.9,-1.9,0.6,1.7,0.0
Exports of goods and services,23.9,23.3,21.2,24.0,26.4
Imports of goods and services (less),28.3,24.4,26.8,32.6,31.6
