table_number,table_title,source_page
13.19,Quarterly employment index in construction 2008-2012 (2010=100),246

NACE_code,NACE_description_EN,construction_type,2008,2009,2010,2011,2012
F,Construction,Total,114.2,92.2,89.6,95.5,97.1
F,Construction,Building,135.8,96.0,90.7,98.1,101.4
F,Construction,Civil engineering,88.5,87.8,87.0,89.4,87.2
41,Construction of buildings,Total,137.5,94.0,89.6,96.7,98.5
41,Construction of buildings,Building,137.5,94.0,89.6,96.7,98.5
42,Civil engineering,Total,90.2,85.1,84.1,90.2,84.1
42,Civil engineering,Civil engineering,90.2,85.1,84.1,90.2,84.1
43,Specialised construction activities,Total,107.4,96.5,93.2,96.8,103.3
43,Specialised construction activities,Building,131.6,100.9,94.1,102.6,110.8
43,Specialised construction activities,Civil engineering,85.7,92.5,91.9,88.2,92.3
