table_ref,indicator,unit,sector,2007,2008,2009,2010,2011
26.1,GERD,Million TL current prices,Total,6091,6893,8087,9268,11154
26.1,GERD,Million TL current prices,Business enterprises,2513,3048,3235,3943,4817
26.1,GERD,Million TL current prices,Government,643,824,1017,1061,1264
26.1,GERD,Million TL current prices,Higher education,2935,3021,3836,4264,5073
26.1,GERD,Million PPP USD,Total,6578,7034,8819,9359,11101
26.1,GERD,Million USD (import weighted rate),Total,4687,5381,5235,6171,6653
26.1,GERD/GDP,permille,Total,7.1,7.3,8.5,8.4,8.6
26.1,GERD per capita,Turkish Liras,Total,86.3,96.4,111.5,125.7,149.3
26.1,GERD per capita,PPP USD,Total,93.2,98.4,121.5,127.0,148.6
26.1,GERD per capita,USD (import weighted rate),Total,66.4,75.2,72.1,83.7,89.0
