Table,21.13 Share of GDP expenditure at 1998 prices 2008-2012
Source,TurkStat - National Accounts
Unit,Percent (%)
Yearbook_Page,357
Note,"Change in stocks estimated as residual; includes statistical discrepancy"

Category,2008,2009,2010,2011,2012
GDP,100.0,100.0,100.0,100.0,100.0
Final consumption expenditure of resident households,68.9,70.7,69.1,68.4,66.4
Final consumption resident and non-resident households on territory,72.4,74.6,72.4,71.6,70.1
Final consumption non-resident households on territory (less),4.0,4.6,4.0,3.8,4.2
Final consumption resident households abroad,0.5,0.7,0.7,0.6,0.5
Government final consumption expenditure,10.1,11.4,10.7,10.3,10.6
Government - Compensation of employees,4.9,5.3,4.9,4.7,4.7
Government - Purchases of goods and services,5.2,6.2,5.8,5.6,5.9
Gross fixed capital formation,23.5,20.0,23.9,25.9,24.7
GFCF - Public sector,3.7,3.9,4.2,3.8,4.0
GFCF - Public sector machinery and equipment,0.9,0.8,0.8,0.7,1.0
GFCF - Public sector construction,2.8,3.1,3.3,3.0,3.0
GFCF - Private sector,19.8,16.1,19.7,22.1,20.7
GFCF - Private sector machinery and equipment,12.6,10.2,13.4,15.4,14.0
GFCF - Private sector construction,7.1,5.9,6.3,6.8,6.7
Change in stocks,0.2,-2.2,0.3,0.0,-1.2
Exports of goods and services,25.5,25.4,24.1,23.9,27.4
Imports of goods and services (less),28.1,25.3,28.0,28.5,27.9
