table_id,table_number,source,title_tr,title_en
chunk_002_table06,10.2,TurkStat Yearbook 2012,4/a Sosyal Sigortalar Kurumu'ndan aylık alanlar 2007-2011,Persons receiving monthly benefits from the Social Insurance Institution 2007-2011

beneficiary_type_tr,beneficiary_type_en,2007,2008,2009,2010,2011
Toplam,Total,4763434,5024696,5290270,5535411,5777300
İş kazası meslek hastalıkları sigortası - Toplam,Work injury and occupational disease insurance - Total,129285,129916,131976,134893,137302
Sürekli iş göremezlik geliri alanlar,Receiving permanent incapacity income,56105,56668,57422,58496,58966
İş kazası - Eş,Work injury - Widow and widowers,33191,33545,34620,35897,37157
İş kazası - Çocuk,Work injury - Children,31696,31392,31559,32108,32778
İş kazası - Ana baba,Work injury - Parents,8293,8311,8375,8392,8401
Malullük yaşlılık ölüm sigortası - Toplam,Disability old age and death insurance - Total,4634149,4894780,5158294,5400518,5639998
Yaşlı,Retired workers,3297393,3467017,3665784,3850199,4041409
Malul,Disabled workers,64883,65175,66038,66902,67575
Eş,Widow and widowers,798961,862074,908078,949392,987725
Çocuk,Children,462097,488844,506398,521874,530946
Ana baba,Parents,10815,11670,11996,12151,12343
