table_id,table_number,source,title_tr,title_en
chunk_002_table08,10.13,TurkStat Yearbook 2012,Aile ve Sosyal Politikalar Bakanlığı Aile ve Toplum Hizmetleri Genel Müdürlüğü çalışmaları 2008-2012,Studies of General Directorate of Family and Community Services of Ministry of Family and Social Policies 2008-2012

indicator_tr,indicator_en,2008,2009,2010,2011,2012
Aile Danışma Merkezi (teşkilat),Family Consultation Center (organization count),42,45,48,48,52
Toplum Merkezi (teşkilat),Community Center (organization count),79,86,85,97,98
Aile Danışma Merkezi hizmet kişi sayısı,Family Counseling Center number of people served,17244,21696,19039,21054,45277
Toplum Merkezi hizmet kişi sayısı,Community Center number of people served,98190,166137,114373,91606,124749
