Table_11.14,Employed population by employment status by province,2 October 2011
Unit: Thousands (000) and percent (%)
Source: TurkStat Population and Housing Census 2011; Statistical Yearbook 2012 pp.193-194
Note: Figures may not add to totals due to rounding

Province,Employed_000,Regular_Casual_Employee_000,Employer_SelfEmployed_000,Unpaid_Family_000,Regular_Casual_pct,Employer_SelfEmployed_pct,Unpaid_Family_pct
Turkey Total,24320,16664,4925,2731,68.5,20.2,11.2
Adana,595,456,104,34,76.7,17.5,5.8
Adiyaman,187,95,45,47,50.5,24.2,25.3
Afyonkarahisar,237,125,63,49,52.9,26.4,20.7
Agri,151,87,30,34,57.6,19.8,22.6
Amasya,116,54,33,30,46.3,28.2,25.5
Ankara,1570,1343,192,36,85.5,12.2,2.3
Antalya,790,498,186,105,63.1,23.5,13.4
Artvin,73,31,22,21,41.7,30.4,28.0
Aydin,359,226,89,43,63.1,24.9,12.0
Balikesir,426,224,123,79,52.6,28.9,18.5
Bilecik,72,53,12,7,73.9,16.6,9.5
Bingol,78,48,13,17,61.1,17.0,21.9
Bitlis,91,46,19,25,50.9,21.2,27.8
Bolu,99,65,22,13,65.1,21.8,13.0
Burdur,97,43,33,21,44.3,34.3,21.4
Bursa,916,694,152,70,75.8,16.6,7.6
Canakkale,195,108,55,32,55.5,28.1,16.4
Cankiri,65,32,18,15,49.5,26.9,23.7
Corum,183,99,48,36,54.2,26.1,19.7
Denizli,360,216,93,51,60.1,25.9,14.1
Diyarbakir,347,249,57,41,71.8,16.5,11.7
Edirne,177,97,48,32,54.9,27.2,17.9
Elazig,159,99,34,26,62.6,21.2,16.1
Erzincan,74,40,21,14,53.3,28.0,18.7
Erzurum,242,116,60,66,47.7,24.9,27.4
Eskisehir,247,194,38,15,78.6,15.3,6.1
Gaziantep,460,330,89,41,71.8,19.3,9.0
Giresun,153,72,53,28,47.0,34.6,18.3
Gumushane,41,22,11,8,53.2,26.2,20.6
Hakkari,62,48,8,6,77.9,12.7,9.5
Hatay,423,289,87,47,68.4,20.6,11.0
Isparta,152,80,42,30,52.5,27.5,20.0
Mersin,517,337,114,65,65.3,22.2,12.5
Istanbul,4565,3919,610,36,85.8,13.4,0.8
Izmir,1330,1033,234,63,77.7,17.6,4.7
Kars,102,46,33,22,45.4,32.6,22.0
Kastamonu,156,63,44,48,40.6,28.5,30.9
Kayseri,368,278,64,26,75.7,17.3,7.0
Kirklareli,140,89,34,17,63.5,24.1,12.3
Kirsehir,75,40,21,14,53.3,28.0,18.7
Kocaeli,502,434,56,11,86.5,11.2,2.3
Konya,649,370,181,98,57.0,27.9,15.1
Kutahya,195,102,52,41,52.4,26.5,21.1
Malatya,230,135,53,42,58.9,23.0,18.1
Manisa,520,286,141,94,54.9,27.1,18.0
Kahramanmaras,307,192,68,47,62.6,22.1,15.3
Mardin,177,112,35,31,63.0,19.6,17.4
Mugla,343,199,96,48,58.1,28.0,14.0
Mus,115,45,34,36,39.2,29.2,31.6
Nevsehir,110,56,32,22,50.7,29.3,19.9
Nigde,122,63,35,24,51.4,29.2,19.5
Ordu,282,124,83,75,44.0,29.4,26.6
Rize,108,61,28,19,56.5,25.9,17.5
Sakarya,281,183,66,33,65.0,23.3,11.6
Samsun,434,224,111,100,51.5,25.5,23.0
Siirt,73,45,13,14,62.6,18.2,19.2
Sinop,77,43,21,13,56.1,27.2,16.7
Sivas,194,109,45,40,56.2,23.2,20.5
Tekirdag,317,239,53,26,75.3,16.7,8.0
Tokat,207,91,57,59,43.9,27.5,28.7
Trabzon,281,153,75,53,54.4,26.6,18.9
Tunceli,35,25,6,3,72.7,18.5,8.9
Sanliurfa,400,252,81,67,62.8,20.3,16.8
Usak,132,68,36,29,51.2,27.0,21.8
Van,249,167,43,38,67.1,17.4,15.4
Yozgat,159,69,54,37,43.0,33.9,23.1
Zonguldak,220,134,51,35,60.8,23.2,16.0
Aksaray,139,69,40,31,49.2,28.7,22.1
Bayburt,32,14,8,9,44.2,26.8,29.1
Karaman,81,44,23,14,54.5,28.4,17.1
Kirikkale,75,53,16,7,70.1,20.8,9.1
Batman,112,74,20,17,66.4,17.9,15.6
Sirnak,93,73,11,8,79.0,12.4,8.6
Bartin,69,36,18,14,52.9,26.1,21.0
Ardahan,47,14,17,16,29.5,35.4,35.1
Igdir,66,29,19,18,43.9,28.7,27.4
Yalova,69,52,13,3,76.1,18.9,5.1
Karabuk,67,47,13,7,70.0,19.7,10.3
Kilis,41,21,11,9,52.0,26.7,21.3
Osmaniye,132,90,28,13,68.3,21.5,10.1
Duzce,130,81,28,20,62.9,21.9,15.2
