Table,13.1 Sanayi ve hizmet sektörlerinde kısımlara göre istihdam ve temel göstergeler / Employment and basic indicators by section in industry and service sectors
Source,TurkStat Turkey Statistical Yearbook 2012
Year,2010
Unit,Count (persons) and TL (Turkish Lira) for monetary values
Note,Wages and salaries (Maaş ve ücretler) relevant to labor compensation extraction. NACE Rev.2 classification.

Indicator,General_Total,Mining_and_Quarrying,Manufacturing,Electricity_Gas_Steam_AirCond,Water_Supply_Sewerage_Waste,Construction,Wholesale_Retail_Trade_Motor,Transportation_and_Storage,Accommodation_Food_Services,Information_Communication,Real_Estate,Professional_Scientific_Technical,Administrative_Support_Services,Education,Human_Health_Social_Work,Arts_Entertainment_Recreation,Other_Services
Number of enterprises (Girişim sayısı),2321979,2663,299928,357,2914,105030,939479,411801,193876,26936,19573,123348,20940,8502,27772,11262,127598
Number of persons employed (Çalışanlar sayısı),10197331,113383,2852352,62318,77875,867747,2681889,932939,698270,151495,40609,383036,698853,195964,221543,33904,185154
Number of employees (Ücretli çalışanlar sayısı),7883750,110779,2564244,62157,77590,776382,1695936,531368,506897,125914,21045,267815,679522,186340,196424,23200,58137
Wages and salaries (Maaş ve ücretler) TL,123326676417,2439936482,43181084139,2561421529,1728071057,8138702588,22531329436,10918706673,5678278783,5005979546,443567159,4818466582,7996083323,3236352985,3664924436,459749552,524022147
Turnover (Ciro) TL,1925626980303,18757951485,552772110637,81655040460,9334077870,115250443714,860836935190,110937136085,34264722647,41296922894,7094358714,36228182768,30397446916,7247382302,13455029016,2976213885,3123025720
Total purchases of goods and services TL,1677057425939,11497744895,471589924004,66507587331,4991293273,97424831966,825014229563,90852485418,24450690620,24477139198,5705674606,21211367365,19088358481,2955295007,6819593398,2221232822,2249977992
Production value (Üretim değeri) TL,1152227860760,18200158816,524468955103,81155365531,9326571973,115557445741,133806616631,94393501448,33930187174,41104107952,7239981310,36180021923,30177605653,7241749997,13453750881,2955957330,3035883297
Value added at factor cost (Faktör maliyetiyle katma değer) TL,293167288154,7362739957,99228887745,15142646062,4269893582,20664317293,59133361163,20405304715,10397226497,15433972088,1467421069,15598197859,11321420630,4326683121,6670703897,802772495,941739981
Gross investment in tangible goods TL,111501720134,1965576121,33711216627,12650513534,2647759911,7608495012,18059463059,13869445120,3816016846,9731157348,668949688,1728954318,2229907677,987466615,1468974195,214058172,143765891
