table_ref,technology,usage_category,total_pct,male_pct,female_pct,computer_total_pct,computer_male_pct,computer_female_pct
26.10,Computer and Internet,Users,48.7,59.0,38.5,47.4,58.1,37.0
26.10,Computer and Internet,Within last 3 months (Jan-Mar),43.5,53.7,33.4,42.7,53.0,32.6
26.10,Computer and Internet,Between 3 months and 1 year,2.3,2.6,2.0,2.4,2.8,2.0
26.10,Computer and Internet,More than 1 year ago,2.9,2.7,3.1,2.3,2.3,2.4
26.10,Computer and Internet,Never used,51.3,41.0,61.5,52.6,41.9,63.0
