Table_11.12_partB,Basic labour force indicators by provinces (continuation),2 October 2011
Unit: Thousands (000) and percent (%)
Source: TurkStat Population and Housing Census 2011; Statistical Yearbook 2012 p.190
Note: Figures may not add to totals due to rounding

Province,Pop_15plus_000,Labour_Force_000,Employed_000,Unemployed_000,Not_in_LF_000,LFPR_pct,Employment_Rate_pct,Unemployment_Rate_pct
Kutahya,453,207,195,12,246,45.6,43.0,5.9
Malatya,556,251,230,21,305,45.2,41.4,8.4
Manisa,1048,546,520,26,502,52.1,49.6,4.8
Kahramanmaras,726,335,307,28,391,46.1,42.2,8.4
Mardin,471,198,177,20,274,41.9,37.6,10.3
Mugla,669,365,343,22,303,54.6,51.3,6.1
Mus,248,125,115,10,123,50.3,46.3,8.1
Nevsehir,215,115,110,5,100,53.4,51.1,4.3
Nigde,244,129,122,7,115,52.9,49.8,5.8
Ordu,551,299,282,16,252,54.2,51.3,5.4
Rize,253,120,108,13,132,47.6,42.6,10.5
Sakarya,678,309,281,27,370,45.5,41.5,8.8
Samsun,960,472,434,38,488,49.2,45.2,8.0
Siirt,185,79,73,7,106,42.9,39.2,8.6
Sinop,164,81,77,4,83,49.6,47.1,4.9
Sivas,474,209,194,15,265,44.1,40.9,7.4
Tekirdag,647,341,317,24,306,52.7,49.0,6.9
Tokat,453,218,207,11,235,48.1,45.6,5.2
Trabzon,592,305,281,24,288,51.4,47.4,7.8
Tunceli,72,40,35,5,32,55.1,48.2,12.5
Sanliurfa,988,447,400,46,542,45.2,40.5,10.4
Usak,269,144,132,12,125,53.6,49.1,8.4
Van,638,276,249,27,362,43.2,39.0,9.8
Yozgat,347,171,159,12,176,49.4,45.9,7.0
Zonguldak,488,238,220,17,251,48.7,45.1,7.3
Aksaray,273,147,139,8,126,53.8,51.0,5.3
Bayburt,58,33,32,2,25,57.4,54.5,4.9
Karaman,176,88,81,6,88,49.9,46.4,7.1
Kirikkale,216,84,75,9,132,38.8,34.8,10.3
Batman,314,128,112,16,186,40.8,35.7,12.6
Sirnak,260,109,93,17,150,42.1,35.7,15.3
Bartin,150,74,69,5,77,49.0,45.7,6.9
Ardahan,80,50,47,3,31,61.7,58.2,5.7
Igdir,125,71,66,5,54,56.8,52.6,7.3
Yalova,163,76,69,8,87,46.8,42.0,10.2
Karabuk,178,73,67,6,105,40.9,37.4,8.6
Kilis,85,43,41,2,42,50.7,47.9,5.5
Osmaniye,343,148,132,16,194,43.3,38.6,10.9
Duzce,262,141,130,11,121,53.6,49.4,7.8
