table_number,table_title,source_page
18.3,Price level indices for consumption expenditures by SR (Statistical Regions Level 2) 2008-2011,302
notes,"Turkey=100. Based on NUTS2 (IBBS-2) regional classification. 2009-2011 estimated using CPI data on item base. Original study conducted in 81 province centres in 2008."

region_code,region_description,2008,2009,2010,2011
TR,Turkey (national),100.00,100.00,100.00,100.00
TR10,İstanbul,114.18,114.33,114.25,113.71
TR21,Tekirdağ Edirne Kırklareli,102.67,102.20,102.09,102.45
TR22,Balıkesir Çanakkale,102.38,102.15,103.07,102.97
TR31,İzmir,105.21,105.68,105.62,106.72
TR32,Aydın Denizli Muğla,101.69,101.25,101.00,101.52
TR33,Manisa Afyonkarahisar Kütahya Uşak,99.31,99.10,99.05,99.19
TR41,Bursa Eskişehir Bilecik,103.46,103.03,103.10,102.97
TR42,Kocaeli Sakarya Düzce Bolu Yalova,104.82,104.57,104.21,103.84
TR51,Ankara,105.03,105.82,106.49,105.99
TR52,Konya Karaman,96.88,96.33,96.27,96.06
TR61,Antalya Isparta Burdur,103.99,104.00,103.43,103.11
TR62,Adana Mersin,99.07,99.94,99.42,99.17
TR63,Hatay Kahramanmaraş Osmaniye,94.86,95.56,95.45,95.76
TR71,Kırıkkale Aksaray Niğde Nevşehir Kırşehir,95.27,95.62,95.61,95.76
TR72,Kayseri Sivas Yozgat,97.21,97.41,97.68,97.66
TR81,Zonguldak Karabük Bartın,101.47,99.65,98.96,99.49
TR82,Kastamonu Çankırı Sinop,97.63,97.46,97.54,98.21
TR83,Samsun Tokat Çorum Amasya,98.00,97.67,97.61,97.42
TR90,Trabzon Ordu Giresun Rize Artvin Gümüşhane,103.02,103.24,103.66,103.61
TRA1,Erzurum Erzincan Bayburt,98.12,97.72,97.90,98.54
TRA2,Ağrı Kars Iğdır Ardahan,96.81,95.93,96.64,96.95
TRB1,Malatya Elazığ Bingöl Tunceli,96.47,96.60,96.92,97.23
TRB2,Van Muş Bitlis Hakkari,97.04,98.21,98.71,97.78
TRC1,Gaziantep Adıyaman Kilis,96.55,96.94,96.32,96.43
TRC2,Şanlıurfa Diyarbakır,95.55,95.92,96.02,95.55
TRC3,Mardin Batman Şırnak Siirt,93.30,93.65,92.98,91.88
