Table_11.3,Persons not in labour force by reason (15+),2008-2012
Unit: Thousand (Bin)
Source: TurkStat Statistical Yearbook 2012 p.180

Sex,Reason,2008,2009,2010,2011,2012
Males,Population not in labour force,7440,7470,7544,7453,7804
Males,Not seeking a job but available to start,831,898,878,852,941
Males,Seasonal worker,72,20,16,14,13
Males,Housewife,-,-,-,-,-
Males,Education/Training,2086,2134,2210,2175,2256
Males,Retired,2806,2858,2847,2844,2959
Males,Disabled/old/ill,1270,1252,1238,1232,1277
Males,Other,375,308,355,336,358
Females,Population not in labour force,19526,19467,19357,19414,19581
Females,Not seeking a job but available to start,1019,1164,1135,1092,1052
Females,Seasonal worker,243,67,49,50,51
Females,Housewife,12186,12101,11914,11872,11992
Females,Education/Training,1670,1832,1912,2043,2153
Females,Retired,682,763,730,772,836
Females,Disabled/old/ill,2144,2143,2156,2174,2182
Females,Other,1582,1397,1461,1410,1315
