table_ref,NACE_Rev2,economic_activity,2008,2009,2010,2011,2012
25.6,B-N,Total,100.0,110.1,120.9,132.3,144.7
25.6,B-E,Industry,100.0,109.9,120.2,130.7,142.6
25.6,B,Mining and quarrying,100.0,106.6,107.7,119.5,134.4
25.6,C,Manufacturing,100.0,110.1,121.1,131.9,143.8
25.6,D,Electricity gas steam and air conditioning supply,100.0,108.1,114.3,119.2,124.5
25.6,E,Water supply sewerage waste management and remediation,100.0,112.5,132.7,147.2,167.4
25.6,F,Construction,100.0,115.4,127.0,143.5,153.6
25.6,G-N,Services,100.0,108.9,120.1,131.8,146.2
25.6,G,Wholesale and retail trade repair of motor vehicles and motorcycles,100.0,109.6,126.9,141.6,157.7
25.6,H,Transportation and storage,100.0,111.9,131.7,145.2,159.0
25.6,I,Accommodation and food service activities,100.0,110.2,125.7,141.7,164.4
25.6,J,Information and communication,100.0,108.9,114.9,126.8,138.9
25.6,K,Financial and insurance activities,100.0,106.4,114.6,123.7,134.8
25.6,M,Professional scientific and technical activities,100.0,114.6,135.5,148.8,178.4
25.6,N,Administrative and support service activities,100.0,114.6,121.2,137.1,159.2
