table_number,table_title,source_page
13.10,Trade and Services turnover index 2008-2012 (2010=100),239

NACE_code,NACE_description_EN,2008,2009,2010,2011,2012
TOTAL,Trade and Services,85.6,83.9,100.0,119.3,131.3
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,84.1,82.7,100.0,119.1,132.2
45,Wholesale and retail trade and repair of motor vehicles and motorcycles,84.7,75.0,100.0,128.2,131.9
46,Wholesale trade except of motor vehicles and motorcycles,79.2,81.8,100.0,118.3,131.4
47,Retail trade except of motor vehicles and motorcycles,94.1,86.5,100.0,118.1,133.9
H,Transportation and storage,91.1,88.0,100.0,126.6,137.4
49,Land transport and transport via pipelines,85.8,86.4,100.0,126.2,135.3
50,Water transport,110.7,91.8,100.0,120.4,113.3
51,Air transport,76.2,86.0,100.0,137.1,161.4
52,Warehousing and support activities for transportation,103.4,90.0,100.0,123.2,134.0
53,Postal and courier activities,103.5,96.1,100.0,119.4,133.4
I,Accommodation and food service,102.0,94.0,100.0,115.6,124.5
55,Accommodation,94.2,88.3,100.0,122.0,127.5
56,Food and beverage service activities,106.1,97.0,100.0,111.1,122.4
J,Information and communication,93.2,92.7,100.0,111.5,115.6
58,Publishing activities,107.5,95.4,100.0,103.5,107.7
59,Motion picture video and television programme production sound recording and music publishing,79.4,74.2,100.0,108.6,121.6
60,Programming and broadcasting activities,98.6,81.1,100.0,121.9,119.6
61,Telecommunications,94.6,96.5,100.0,108.0,112.1
62,Computer programming consultancy and related activities,82.4,97.9,100.0,133.0,130.8
63,Information service activities,97.9,98.9,100.0,104.4,138.1
M,Professional scientific and technical activities,100.4,84.0,100.0,119.9,121.3
69+702,Legal accounting and management consultancy activities,100.7,97.6,100.0,111.0,122.4
71,Architectural and engineering activities; technical testing and analysis,77.9,93.1,100.0,136.5,119.9
73,Advertising and market research,105.0,75.5,100.0,114.4,122.4
74,Other professional scientific and technical activities,89.5,92.5,100.0,117.1,107.5
N,Administrative and support service activities,91.8,95.5,100.0,120.4,125.5
78,Employment activities,103.0,93.5,100.0,111.7,122.2
79,Travel agency tour operator reservation service and related activities,97.3,99.7,100.0,123.0,114.5
80,Security and investigation activities,93.5,102.9,100.0,113.0,122.1
812,Cleaning activities,70.4,80.6,100.0,119.3,140.0
82,Office administrative office support and other business support activities,95.5,89.5,100.0,120.4,137.1
