table_ref,demographic_category,demographic_value,computer_total_pct,computer_male_pct,computer_female_pct,internet_total_pct,internet_male_pct,internet_female_pct
26.11,Age group,16-24,68.5,81.1,56.4,67.7,80.6,55.4
26.11,Age group,25-34,59.1,70.0,48.1,58.5,69.6,47.2
26.11,Age group,35-44,43.6,54.3,32.7,42.6,53.3,31.8
26.11,Age group,45-54,26.7,36.3,17.0,25.5,34.8,16.2
26.11,Age group,55-64,12.5,19.1,6.1,11.9,18.5,5.6
26.11,Age group,65-74,3.8,6.9,1.3,3.6,6.4,1.3
26.11,Education level,Literate without diploma,3.5,9.6,1.7,3.5,10.0,1.6
26.11,Education level,Primary school,18.7,23.1,14.5,17.7,22.0,13.5
26.11,Education level,Secondary and vocational secondary school,58.7,64.5,51.0,57.6,63.8,49.4
26.11,Education level,High and vocational high school,77.3,80.5,72.4,76.4,79.7,71.3
26.11,Education level,Higher education,93.3,93.7,92.7,93.0,93.1,92.8
26.11,Labour force status,In labour force,55.8,57.1,51.9,54.9,56.3,51.0
26.11,Labour force status,Regular or casual employee,67.1,65.4,72.5,66.0,64.1,71.9
26.11,Labour force status,Employer,77.1,76.2,91.0,76.6,75.6,91.0
26.11,Labour force status,Self employed,32.3,32.2,32.9,32.2,32.2,31.9
26.11,Labour force status,Unpaid family worker,17.8,47.7,6.9,16.9,46.8,5.9
26.11,Labour force status,Unemployed,55.6,51.4,68.5,54.4,51.1,64.6
26.11,Labour force status,Not in labour force,31.3,44.0,27.0,30.7,43.6,26.3
26.11,Labour force status,Houseworks,20.7,25.8,20.7,19.9,16.9,19.9
26.11,Labour force status,Retired,22.6,20.9,28.5,22.2,20.6,27.6
26.11,Labour force status,Student,90.7,94.2,86.7,89.9,93.4,85.8
26.11,Labour force status,Private and family reasons,56.4,51.8,62.2,56.8,52.2,62.4
26.11,Labour force status,Disabled,6.6,9.9,3.2,6.3,9.8,2.8
26.11,Labour force status,Other,11.0,0.0,30.6,11.0,0.0,30.6
