table_id,table_number,source,title_tr,title_en
chunk_001_table01,3.1,TurkStat Yearbook 2012,Nüfus yıllık nüfus artış hızı il ilçe belde/köy sayısı ve nüfus yoğunluğu 1927-2012,Population annual growth rate number of provinces districts towns/villages and population density 1927-2012

year,population,annual_growth_rate_permille,number_of_provinces,number_of_districts,number_of_towns_and_villages,population_density_per_km2,series_note
1927,13648270,,63,328,40600,18,General Population Census
1935,16158018,21.1,57,356,34876,21,General Population Census
1940,17820950,17.0,63,370,34024,23,General Population Census (incl. Hatay)
1945,18790174,10.6,63,396,34063,24,General Population Census
1950,20947188,21.7,63,422,34252,27,General Population Census
1955,24064763,27.8,66,493,34787,31,General Population Census
1960,27754820,28.5,67,570,35441,36,General Population Census
1965,31391421,24.6,67,571,35638,41,General Population Census
1970,35605176,25.2,67,572,35996,46,General Population Census
1975,40347719,25.0,67,572,36115,52,General Population Census
1980,44736957,20.7,67,572,36155,58,General Population Census
1985,50664458,24.9,67,580,36022,65,General Population Census
1990,56473035,21.7,73,829,36226,73,General Population Census
2000,67803927,18.3,81,850,37398,88,General Population Census
2007,70586256,,81,850,36732,92,ABPRS
2008,71517100,13.1,81,892,36330,93,ABPRS
2009,72561312,14.5,81,892,36345,94,ABPRS
2010,73722988,15.9,81,892,36379,96,ABPRS
2011,74724269,13.5,81,892,36402,97,ABPRS
2012,75627384,12.0,81,892,36411,98,ABPRS
