table_number,table_title,source_page
13.22,Quarterly turnover index in construction 2008-2012 (2005=100),247
notes,"Base year is 2005=100, different from most other business statistics tables which use 2010=100"

NACE_code,NACE_description_EN,construction_type,2008,2009,2010,2011,2012
F,Construction,Total,161.5,139.2,132.7,145.3,154.6
F,Construction,Building,163.5,136.8,119.2,132.3,143.4
F,Construction,Civil engineering,158.3,143.1,154.5,166.4,172.7
41,Construction of buildings,Total,166.8,141.2,122.8,134.6,147.4
41,Construction of buildings,Building,166.8,141.2,122.8,134.6,147.4
42,Civil engineering,Total,159.3,146.9,162.5,172.9,173.7
42,Civil engineering,Civil engineering,159.3,146.9,162.5,172.9,173.7
43,Specialised construction activities,Total,149.6,121.0,112.4,131.0,144.1
43,Specialised construction activities,Building,145.0,113.0,99.7,119.5,121.4
43,Specialised construction activities,Civil engineering,154.8,129.8,126.6,143.9,169.4
