table_number,table_title,source_page
13.6,Industrial turnover index 2008-2012 (2010=100),235

NACE_Rev2_code,NACE_description_TR,NACE_description_EN,2008,2009,2010,2011,2012
TOTAL,TOPLAM SANAYİ,TOTAL INDUSTRY,93.4,85.1,100.0,129.9,140.1
ARM,ARM aramalı imalat,IG intermediate goods,94.2,82.5,100.0,132.2,141.6
DLT,DLT dayanıklı tüketim malı imalat,DCG durable consumer goods,108.1,92.9,100.0,124.8,150.9
DZT,DZT dayanıksız tüketim malı imalat,UCG undurable consumer goods,85.5,87.2,100.0,120.1,129.9
E,Enerji,ENG Energy,108.3,84.4,100.0,153.9,174.0
SEM,SEM sermaye malı imalat,CG capital goods,98.0,87.0,100.0,133.8,138.0
B,MADENCİLİK VE TAŞ OCAKÇILIĞI,MINING AND QUARRYING,86.2,82.9,100.0,135.4,151.0
05,Kömür ve linyit çıkartılması,Mining of coal and lignite,110.2,109.6,100.0,133.6,139.6
06,Ham petrol ve doğal gaz çıkarımı,Extraction of crude petroleum and natural gas,80.0,73.8,100.0,146.1,159.8
07,Metalik cevherleri madenciliği,Mining of metal ores,73.3,61.0,100.0,142.0,174.4
08,Diğer madencilik ve taş ocakçılığı,Other mining and quarrying,74.3,74.6,100.0,128.1,142.8
C,İMALAT SANAYİİ,MANUFACTURING INDUSTRY,93.6,85.1,100.0,129.7,139.7
10,Gıda ürünlerinin imalatı,Manufacture of food products,82.7,87.1,100.0,121.5,130.3
11,İçeceklerin imalatı,Manufacture of beverages,90.3,95.7,100.0,112.8,127.1
12,Tütün ürünleri imalatı,Manufacture of tobacco products,101.7,109.9,100.0,108.6,132.4
13,Tekstil ürünleri imalatı,Manufacture of textiles,84.4,81.3,100.0,127.3,133.7
14,Giyim eşyası imalatı,Manufacture of wearing apparel,94.0,90.9,100.0,124.2,134.8
15,Deri ve ilgili ürünlerin imalatı,Manufacture of leather and related products,89.5,82.9,100.0,128.2,142.2
16,Ağaç ve ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç),Manufacture of wood and of products of wood and cork (except furniture),80.6,81.8,100.0,124.3,142.0
17,Kağıt ve kağıt ürünleri imalatı,Manufacture of paper and paper products,86.5,88.5,100.0,125.7,136.4
18,Kayıtlı medyanın basılması ve çoğaltılması,Printing and reproduction of recorded media,90.6,91.1,100.0,121.8,127.0
19,Kok kömürü rafine edilmiş petrol ürünleri imalatı,Manufacture of coke and refined petroleum products,111.9,80.1,100.0,159.6,183.8
20,Kimyasalların ve kimyasal ürünlerin imalatı,Manufacture of chemicals and chemical products,86.7,80.8,100.0,129.4,141.4
21,Temel eczacılık ürünlerinin imalatı,Manufacture of basic pharmaceutical products and pharmaceutical preparations,84.9,93.5,100.0,98.8,109.0
22,Kauçuk ve plastik ürünlerin imalatı,Manufacture of rubber and plastic products,84.4,81.6,100.0,132.6,143.1
23,Diğer metalik olmayan mineral ürünlerin imalatı,Manufacture of other non-metallic mineral products,96.0,86.5,100.0,121.3,131.4
24,Ana metal sanayii,Manufacture of basic metals,112.1,77.8,100.0,142.3,149.6
25,Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç),Manufacture of fabricated metal products (except machinery and equipment),92.6,88.1,100.0,133.9,145.9
26,Bilgisayarların elektronik ve optik ürünlerin imalatı,Manufacture of computer electronic and optical products,100.8,100.8,100.0,125.9,135.9
27,Elektrikli teçhizat imalatı,Manufacture of electrical equipment,113.9,93.4,100.0,127.9,139.2
28,Başka yerde sınıflandırılmamış makine ve ekipman imalatı,Manufacture of machinery and equipment n.e.c.,94.6,82.3,100.0,140.8,155.8
29,Motorlu kara taşıtı treyler ve yarı treyler imalatı,Manufacture of motor vehicles trailers and semi-trailers,92.2,80.6,100.0,133.7,129.0
30,Diğer ulaşım araçlarının imalatı,Manufacture of other transport equipment,94.4,97.5,100.0,122.0,127.3
31,Mobilya imalatı,Manufacture of furniture,84.8,90.1,100.0,125.6,133.8
32,Diğer imalatlar,Other manufacturing,100.5,91.4,100.0,118.9,185.8
33,Makine ve ekipmanların kurulumu ve onarımı,Repair and installation of machinery and equipment,370.7,282.9,100.0,135.0,136.1
