Table,21.3 Gross domestic product in constant prices by kind of economic activity (1998 base prices) 2008-2012
Source,TurkStat - National Accounts
Unit,Thousand TL (Bin TL)
Yearbook_Page,350

Activity,2008,2009,2010,2011,2012
Agriculture hunting and forestry,9141424,9477479,9703312,10303391,10665987
Fishing,292126,291158,296117,301389,310824
Mining and quarrying,813954,759220,795179,826026,832457
Manufacturing,24290306,22538467,25606668,28156849,28679899
Electricity gas and water supply,2107391,2034945,2184157,2376320,2459481
Construction,6040811,5067196,5996258,6688257,6727587
Wholesale and retail trade,13237437,11863006,13480057,14988441,15001805
Hotels and restaurants,1882737,1952631,1958749,2149068,2221365
Transport storage communication,15026108,13936885,15414012,17039210,17579364
Financial intermediation,10803084,11722407,12521036,13722619,14155055
Ownership and dwelling,4889749,5018694,5111048,5202722,5290573
Real estate renting and business activities,3473201,3625686,3902456,4267187,4550803
Public administration defence social security,3108369,3197580,3213346,3338781,3455713
Education,2007025,2047582,2059719,2164283,2257756
Health and social work,1230213,1268643,1283421,1351168,1423298
Other community social personal service activities,1611295,1592251,1607462,1634631,1644951
Private households with employed persons,155676,159180,167832,180966,191048
Sectoral total,100110905,96553011,105300829,114691307,117447963
Financial intermediation services indirectly measured (deduct),6773149,7429415,8323627,9359556,9675179
Taxes minus subsidies,8583974,7879518,8908442,9842973,9980909
GDP at purchaser prices (1998 prices),101921730,97003114,105885644,115174724,117753693
