Table,20.1 Special Provincial Administrations budget realizations 2008-2012
Source,Ministry of Finance - General Directorate of Public Accounts
Unit,Thousand TL (Bin TL)
Yearbook_Page,338

Category,2008,2009,2010,2011,2012
EXPENDITURES,6838966,7553284,8652767,10216828,11517481
Compensation of employees,2028182,1791003,1952187,2201255,2358647
Government premiums to social security agencies,236277,277157,369675,342807,354071
Good and service purchase,1345695,1630338,1794492,2376501,2837221
Interest expenditures,5155,7880,7363,10469,17736
Current transfers,469174,404544,807586,408264,513346
Capital expenditures,2648111,3228875,3486920,4583170,5209291
Capital transfers,101780,205961,229489,294116,226065
Lending,4592,7526,5055,246,1104
REVENUES,7121956,7299672,9752093,11678259,12440479
Taxes,113208,112821,42491,16814,15509
Property income,189753,225387,272848,331679,357299
Grants aids and special revenues,4615490,4646911,6694942,8003367,8306379
Interest shares and fines,2099938,2271836,2708334,3276131,3741682
Capital revenues,65397,40063,33383,50268,20053
Collections from loans,38170,2654,95,,443
Budget balance,282990,-253612,1099326,1461431,922998
