Table,20.9 Numbers and capitals of established and liquidated companies/cooperatives 2008-2012
Source,Union of Chambers and Commodity Exchanges of Turkey (since 2010)
Note,Published by TurkStat until Dec 2009; by TOBB from Jan 2010
Yearbook_Page,343

Category,2008,2009,2010,2011,2012
NUMBER,,,,,
Newly established,49003,44472,51967,54442,39764
Changing legal status,394,314,666,674,839
Capital increase,26116,28868,48890,26508,32647
Capital decrease,65,103,185,190,201
Liquidated,9578,10395,13442,14991,16063
CAPITAL (Thousand TL),,,,,
Newly established,12338217,10208570,12954536,27407526,13838248
Changing legal status,1245717,681065,2112152,2194807,3409811
Capital increase,57064746,59407690,125987265,80338695,210791860
Capital decrease,378292,504701,1238908,1832682,2395691
