table_id,table_number,source,title_tr,title_en
chunk_001_table04,5.10,TurkStat Yearbook 2012,Organ nakli sayısı Türkiye 2007-2011,Number of organ transplantation Turkey 2007-2011

organ_tr,organ_en,2007,2008,2009,2010,2011
Toplam,Total,2009,2362,3072,3336,3953
Böbrek,Kidney,1302,1665,2362,2502,2923
Karaciğer,Liver,473,602,592,695,904
Kalp,Heart,61,50,54,86,93
Kalp kapakçığı,Heart valve,159,29,38,18,1
Akciğer,Lung,1,0,7,3,5
Kalp-Akciğer,Heart-Lung,1,3,0,0,0
Pankreas,Pancreas,9,10,18,29,26
İnce bağırsak,Small intestine,3,3,1,3,1
