table_id,table_ref,description,unit,year,geo,occupation_isco88,total_TL,males_TL,females_TL
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Turkey,Total,12558,13202,10034
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural,Total,9894,,,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural,Total_males,,6022,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban,Total_males,,14624,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban,Total_females,,,11097
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Turkey,Legislators senior officials managers,22922,23390,19165
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (males),Legislators senior officials managers,,13994,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (males),Legislators senior officials managers,,25683,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (females),Legislators senior officials managers,,,14679
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (females),Legislators senior officials managers,,,20013
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Turkey,Professionals,22386,24495,19194
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (males),Professionals,,19016,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (males),Professionals,,25045,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (females),Professionals,,,20979
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (females),Professionals,,,19213
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Turkey,Technicians and associate professionals,15888,16848,13083
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (males),Technicians and associate professionals,,15379,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (males),Technicians and associate professionals,,17301,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (females),Technicians and associate professionals,,,13905
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (females),Technicians and associate professionals,,,12951
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Turkey,Clerks,12599,13695,11082
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (males),Clerks,,7658,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (males),Clerks,,13648,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (females),Clerks,,,14118
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (females),Clerks,,,11364
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Turkey,Service workers shop and market sales workers,10431,11356,6904
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (males),Service workers shop and market sales workers,,7030,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (males),Service workers shop and market sales workers,,11825,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (females),Service workers shop and market sales workers,,,9284
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (females),Service workers shop and market sales workers,,,6881
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Turkey,Skilled agricultural and fishery workers,8604,9416,3571
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (males),Skilled agricultural and fishery workers,,3620,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (males),Skilled agricultural and fishery workers,,10580,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (females),Skilled agricultural and fishery workers,,,9260
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (females),Skilled agricultural and fishery workers,,,3215
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Turkey,Craft and related trade workers,9360,10064,3389
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (males),Craft and related trade workers,,3275,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (males),Craft and related trade workers,,10425,
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Rural (females),Craft and related trade workers,,,8375
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Urban (females),Craft and related trade workers,,,3418
chunk_011_table03,22.4,Average annual main job incomes of individuals by occupation group,TL,2010,Turkey,Plant and machine operators and assemblers,10883,11131,8003
