Table,20.6 Gross external debt of Turkey by lender 2008-2012
Source,Undersecretariat of Treasury - General Directorate of Public Finance
Unit,Million USD (Milyon $)
Yearbook_Page,341
Note,"Bonds issued in foreign markets classified under monetary institutions per primary market issuance"

Category,2008,2009,2010,2011,2012
Gross external debt of Turkey,281045,269223,291924,304207,336863
Short term total,52522,49020,77369,81996,100951
Short term - Private creditors,52522,49020,77369,81996,100951
Short term - Monetary institutions,23912,20448,48012,47864,64403
Short term - Non-monetary institutions,28610,28572,29357,34132,36548
Short term - Official creditors,0,0,0,0,0
Long term total,228523,220203,214555,222211,235912
Long term - Private creditors,155780,140707,128237,129561,129754
Long term - Monetary institutions,131593,116911,103935,106031,106444
Non-bank financial institutions,6692,6496,5890,5654,7818
Private investment and development banks,40,36,7,5,4
Foreign commercial banks,80381,72308,66704,72360,71631
Foreign branches of domestic banks and others,44480,38071,31333,28012,26991
Long term - Non-monetary institutions,24186,23796,24302,23531,23310
Long term - Official creditors,33836,38597,40933,42118,41883
Governmental organizations,7297,7498,7929,7960,7221
Public finance institutions,1681,2121,2093,2295,2202
Central banks,0,0,0,0,0
Central governments,635,497,365,276,214
Official development banks,4981,4880,5472,5389,4805
Multilateral organizations,26540,31099,33004,34159,34663
IMF - International monetary fund,8563,9434,7107,4361,2338
IMF SDR allocation,0,1499,1478,1476,1474
IBRD,8013,9767,11522,12256,13168
Other multilateral institutions,9963,11898,14375,17541,19156
Bonds,38907,40899,45385,50531,64274
