Table_11.2,Employed persons by age groups (15+),2008-2012
Unit: Thousand (Bin)
Source: TurkStat Statistical Yearbook 2012 p.179

Region,Sex,Age_Group,2008,2009,2010,2011,2012
Turkey,Males,Total,15598,15406,16170,17137,17512
Turkey,Males,15-24,2320,2190,2269,2446,2435
Turkey,Males,25-44,9299,9123,9533,9950,10145
Turkey,Males,45-64,3577,3682,3944,4282,4475
Turkey,Males,65+,402,411,424,459,457
Turkey,Females,Total,5596,5871,6425,6974,7309
Turkey,Females,15-24,1163,1137,1196,1251,1212
Turkey,Females,25-44,3069,3257,3595,3871,4140
Turkey,Females,45-64,1208,1314,1468,1661,1766
Turkey,Females,65+,156,163,166,191,191
Urban,Males,Total,10892,10587,11104,11623,11975
Urban,Males,15-24,1655,1498,1525,1611,1612
Urban,Males,25-44,6950,6762,7085,7342,7574
Urban,Males,45-64,2178,2221,2374,2549,2667
Urban,Males,65+,109,106,120,121,122
Urban,Females,Total,3117,3251,3575,3886,4193
Urban,Females,15-24,713,702,728,755,745
Urban,Females,25-44,1970,2075,2307,2496,2734
Urban,Females,45-64,416,456,516,610,689
Urban,Females,65+,18,18,24,25,25
Rural,Males,Total,4706,4819,5065,5514,5537
Rural,Males,15-24,665,692,744,835,823
Rural,Males,25-44,2349,2361,2448,2608,2571
Rural,Males,45-64,1399,1461,1569,1733,1808
Rural,Males,65+,293,305,304,338,335
Rural,Females,Total,2479,2620,2850,3088,3116
Rural,Females,15-24,450,435,468,496,467
Rural,Females,25-44,1099,1182,1288,1375,1406
Rural,Females,45-64,792,858,952,1051,1077
Rural,Females,65+,138,145,142,166,166
