table_id,table_ref,description,unit,year,geo,employment_status_icse,total_TL,males_TL,females_TL
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Rural (males),Regular employee,,9536,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Urban (males),Regular employee,,13813,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Rural (females),Regular employee,,,11329
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Urban (females),Regular employee,,,11996
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Turkey,Casual employee,4437,4994,2446
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Rural (males),Casual employee,,1682,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Urban (males),Casual employee,,5458,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Rural (females),Casual employee,,,4160
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Urban (females),Casual employee,,,2932
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Turkey,Employer,27236,27977,17821
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Rural (males),Employer,,8459,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Urban (males),Employer,,31013,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Rural (females),Employer,,,17417
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Urban (females),Employer,,,23055
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Turkey,Self employed,8553,9407,3935
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Rural (males),Self employed,,3373,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Urban (males),Self employed,,11837,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Rural (females),Self employed,,,7785
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Urban (females),Self employed,,,4709
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Turkey,Total,12558,13202,10034
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (males),Total,,6022,
