table_id,table_number,source,title_tr,title_en
chunk_002_table07,10.3,TurkStat Yearbook 2012,4/a Sosyal sigorta uygulamasına tabi işyerleri ve zorunlu sigortalı sayısı 2007-2011,Establishments and number of employees covered by the Social Insurance Institution 2007-2011

note: Data from end of December for 2007 onwards; end of September for earlier years
indicator_tr,indicator_en,2007,2008,2009,2010,2011
İşyeri toplam,Establishments total,1116638,1170248,1216308,1325749,1435879
İşyeri kamu,Establishments public sector,31304,30369,36031,37056,37600
İşyeri özel,Establishments private sector,1085334,1139879,1180277,1288693,1398279
Sigortalı toplam,Employees insured total,8505390,8802989,9030202,10030810,11030939
Sigortalı kamu,Employees insured public sector,722015,731704,852248,868753,806374
Sigortalı özel,Employees insured private sector,7783375,8071285,8177954,9162057,10224565
Erkek,Males,6603475,6774527,6870750,7599143,8351256
Kadın,Females,1901915,2028462,2159452,2431667,2679683
