table_ref,NACE_Rev2,economic_activity,2008,2009,2010,2011,2012
25.5,B-N,Total,100.0,108.9,118.7,129.7,141.8
25.5,B-E,Industry,100.0,108.9,118.0,128.0,139.9
25.5,B,Mining and quarrying,100.0,103.2,104.1,115.8,132.1
25.5,C,Manufacturing,100.0,109.1,118.4,128.5,140.4
25.5,D,Electricity gas steam and air conditioning supply,100.0,108.6,120.0,122.8,128.0
25.5,E,Water supply sewerage waste management and remediation,100.0,111.9,131.6,149.5,167.7
25.5,F,Construction,100.0,113.2,124.3,140.4,150.3
25.5,G-N,Services,100.0,107.4,118.3,129.7,143.1
25.5,G,Wholesale and retail trade repair of motor vehicles and motorcycles,100.0,108.6,124.6,139.5,154.7
25.5,H,Transportation and storage,100.0,108.6,127.4,140.4,153.5
25.5,I,Accommodation and food service activities,100.0,109.1,124.2,138.6,161.4
25.5,J,Information and communication,100.0,109.5,113.6,125.5,135.1
25.5,K,Financial and insurance activities,100.0,104.7,113.0,122.5,132.5
25.5,M,Professional scientific and technical activities,100.0,112.3,132.9,144.8,173.1
25.5,N,Administrative and support service activities,100.0,113.0,120.1,134.7,156.9
