table_ref,ict_equipment,pct_households_having_equipment,pct_households_with_internet_access_equipment
26.12,Desktop computer,31.8,23.4
26.12,Portable computer (Laptop / Tablet PC),27.1,22.6
26.12,Handled computer (Palm / PDA),1.4,0.8
26.12,Mobile phone,93.2,20.3
26.12,Games console,4.6,0.5
