table_id,table_number,source,title_tr,title_en
chunk_002_table03,6.20,TurkStat Yearbook 2012,Müzeler ve mevcut eserler 2007-2011,Museums and artifacts 2007-2011

indicator_tr,indicator_en,2007,2008,2009,2010,2011
Müze sayısı,Museums,165,159,183,185,189
Etnografya,Ethnography,34,38,39,39,44
Arkeoloji,Archaeology,61,57,60,60,60
Genel,General,70,64,84,86,85
Mevcut eser sayısı,Available artifacts,2767149,2989749,3044197,3096599,3149982
