table_number,table_title,source_page
13.11,Trade and Services number of persons employed index 2008-2012 (2010=100),240

NACE_code,NACE_description_EN,2008,2009,2010,2011,2012
TOTAL,Trade and Services,104.4,98.3,100.0,106.9,110.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,104.0,98.6,100.0,106.1,110.0
45,Wholesale and retail trade and repair of motor vehicles and motorcycles,109.6,100.4,100.0,106.2,112.9
46,Wholesale trade except of motor vehicles and motorcycles,97.5,94.2,100.0,103.7,103.9
47,Retail trade except of motor vehicles and motorcycles,106.5,100.6,100.0,107.4,112.6
H,Transportation and storage,101.7,98.3,100.0,105.1,104.8
49,Land transport and transport via pipelines,100.8,96.8,100.0,105.5,104.3
50,Water transport,99.4,102.8,100.0,96.4,101.3
51,Air transport,86.3,91.1,100.0,111.5,112.4
52,Warehousing and support activities for transportation,103.1,100.3,100.0,105.1,108.3
53,Postal and courier activities,112.4,105.5,100.0,101.9,103.2
I,Accommodation and food service activities,111.3,100.0,100.0,109.0,116.5
55,Accommodation,102.9,94.2,100.0,110.0,118.8
56,Food and beverage service activities,113.9,101.8,100.0,108.6,115.7
J,Information and communication,105.1,97.7,100.0,101.4,100.0
58,Publishing activities,112.4,101.2,100.0,103.0,110.8
59,Motion picture video and television programme production sound recording and music publishing,103.2,97.4,100.0,107.9,113.0
60,Programming and broadcasting activities,94.0,93.4,100.0,104.4,102.0
61,Telecommunications,110.8,103.5,100.0,100.3,99.2
62,Computer programming consultancy and related activities,105.5,94.2,100.0,101.1,92.8
63,Information service activities,86.1,79.5,100.0,96.1,106.2
M,Professional scientific and technical activities,117.4,102.2,100.0,110.9,114.5
69+702,Legal accounting and management consultancy activities,110.6,98.7,100.0,110.3,116.2
71,Architectural and engineering activities; technical testing and analysis,122.6,112.7,100.0,115.1,118.1
73,Advertising and market research,135.6,100.9,100.0,105.4,108.1
74,Other professional scientific and technical activities,115.1,104.3,100.0,110.2,101.5
N,Administrative and support service activities,95.5,91.6,100.0,109.4,110.1
78,Employment activities,127.2,100.5,100.0,85.5,97.1
79,Travel agency tour operator reservation service and related activities,133.1,105.4,100.0,108.4,115.3
80,Security and investigation activities,102.5,101.8,100.0,105.9,98.1
812,Cleaning activities,82.4,85.1,100.0,112.0,114.9
82,Office administrative office support and other business support activities,127.7,107.3,100.0,113.5,112.8
