Table,20.8 Balance of payments 2008-2012
Source,Central Bank of the Republic of Turkey
Unit,Million USD (Milyon $)
Yearbook_Page,342

Category,2008,2009,2010,2011,2012
I - Current account,-40438,-12168,-45447,-75092,-46935
Goods services and income (A+B+C),-42570,-14577,-46970,-76850,-48308
Goods and services (A+B),-34204,-6269,-39755,-69009,-41633
A. Goods (trade balance),-53021,-24850,-56413,-89139,-65640
Total exports of goods,140800,109647,120902,143396,163292
Total imports of goods,-193821,-134497,-177315,-232535,-228932
General merchandise,-51406,-27803,-55996,-84175,-71284
Exports f.o.b.,136314,104338,117919,140704,148499
Imports f.o.b.,-187720,-132141,-173915,-224879,-219783
Non-monetary gold (net),-1365,3007,-453,-4778,5709
Goods procured in ports by carriers (net),-250,-54,36,-186,-65
B. Services (balance),18817,18581,16658,20130,24007
Transportation,177,1815,1308,2279,4699
Travel,19541,18405,17391,20171,21559
Construction services,974,1090,859,838,1001
Insurance services,-703,-554,-541,-468,-384
Financial services,-133,-355,-234,-690,-645
Other business services,-1040,-1286,-1340,-1427,-1521
Government services,-778,-846,-869,-1059,-965
Other services,779,312,84,486,263
C. Income (balance),-8366,-8308,-7215,-7841,-6675
Compensation of employees,-66,-105,-123,-163,-215
Investment income,-8300,-8203,-7092,-7678,-6460
Direct investment,-2626,-2747,-2187,-2704,-2096
Portfolio investment,972,267,-491,-899,-629
Other investment,-6646,-5723,-4414,-4075,-3735
D. Current transfers,2132,2409,1523,1758,1373
General Government,728,1190,563,794,558
Other sectors,1404,1219,960,964,815
Workers remittances,1431,1014,948,1045,975
Other transfers,-27,205,12,-81,-160
II - Capital and financial account,37427,9289,44042,65659,44971
A. Capital account,-61,-43,-51,-25,-44
B. Financial account,37488,9332,44093,65684,45015
Direct investment,17211,7110,7572,13698,8335
Portfolio investment,-5014,227,16093,21986,40773
Other investment,24234,2106,33237,28187,16721
Reserve assets,1057,-111,-12809,1813,-20814
III - Net errors and omissions,3011,2879,1405,9433,1964
