Table,21.1 Gross domestic product 2008-2012 (summary)
Source,TurkStat - National Accounts
Yearbook_Page,349

Measure,2008,2009,2010,2011,2012
At current prices (Million TL),950534,952559,1098799,1297713,1416817
Growth rate current prices (%),12.7,0.2,15.4,18.1,9.2
At current prices (Million USD),742094,616703,731608,773980,786293
Growth rate current prices USD (%)14.4,-16.9,18.6,5.8,1.6
Constant prices 1998 (Million TL),101922,97003,105886,115175,117754
Growth rate constant prices (%),0.7,-4.8,9.2,8.8,2.2
