table_number,table_title,source_page
13.7,Industrial employment index 2008-2012 (2010=100),236

NACE_description_EN,2008,2009,2010,2011,2012
All items (General index),105.8,95.7,100.0,106.5,111.6
IG intermediate goods,103.2,93.0,100.0,106.9,113.2
DCG durable consumer goods,104.6,94.6,100.0,107.7,112.2
UCG undurable consumer goods,105.3,97.0,100.0,105.2,109.4
E Energy,106.6,102.2,100.0,98.0,99.7
CG capital goods,114.2,97.1,100.0,110.8,116.2
Mining and quarrying,100.0,94.8,100.0,104.5,105.7
Mining of coal and lignite,100.0,97.7,100.0,98.6,98.2
Extraction of crude petroleum and natural gas,98.5,96.8,100.0,106.1,106.1
Mining of metal ores,90.6,79.3,100.0,119.3,118.8
Other mining and quarrying,104.4,96.7,100.0,105.5,109.9
Manufacturing industry,105.8,95.4,100.0,106.9,112.2
Manufacture of food products,93.6,95.4,100.0,105.0,110.4
Manufacturing of beverages,83.1,82.3,100.0,107.8,108.4
Manufacture of tobacco products,111.7,123.0,100.0,105.5,107.7
Manufacture of textiles,109.6,94.1,100.0,106.0,115.0
Manufacture of wearing apparel,114.1,98.1,100.0,104.5,107.9
Manufacturing of leather and related products,105.0,93.0,100.0,110.3,116.8
Manufacture of wood and of products of wood and cork,107.7,89.5,100.0,106.0,112.4
Manufacture of paper and paper products,103.8,93.6,100.0,105.5,110.0
Printing and reproduction of printed media,105.6,99.3,100.0,106.3,108.9
Manufacture of coke and refined petroleum products,102.7,98.5,100.0,102.7,105.4
Manufacture of chemicals and chemicals products,97.4,93.8,100.0,105.0,108.8
Manufacture of basic pharmaceutical products and pharmaceutical preparations,101.8,100.0,100.0,106.0,102.7
Manufacture of rubber and plastics products,99.5,91.2,100.0,107.4,113.9
Manufacture of non-metallic mineral products,109.0,95.1,100.0,105.5,109.3
Manufacture of basic metals,105.4,95.7,100.0,109.1,114.5
Manufacture of fabricated metal products,101.6,94.3,100.0,108.7,115.2
Manufacture of computer electronic and optical products,107.6,97.7,100.0,106.9,115.5
Manufacture of electrical equipment,95.4,91.5,100.0,110.1,118.7
Manufacture of machinery and equipment n.e.c.,109.7,95.0,100.0,113.8,123.0
Manufacture of motor vehicles trailers and semi-trailers,117.5,94.5,100.0,113.1,116.7
Manufacture of other transport equipments,124.9,110.0,100.0,102.7,102.5
Manufacture of furniture,105.1,94.8,100.0,107.8,111.2
Other Manufacturing,114.5,102.8,100.0,100.4,102.4
Repair and installation of machinery and equipment,137.6,106.0,100.0,101.3,95.7
Electricity gas steam and air conditioning supply,114.6,106.4,100.0,95.5,99.7
Water collection treatment and supply,105.3,103.6,100.0,99.4,99.6
