Table,21.8 Expenditure on GDP at current prices 2008-2012
Source,TurkStat - National Accounts
Unit,Thousand TL (Bin TL)
Yearbook_Page,355
Note,"Change in stocks estimated as residual; includes statistical discrepancy"

Category,2008,2009,2010,2011,2012
GDP,950534251,952558579,1098799348,1297713210,1416816801
Final consumption expenditure of resident households,663944252,680768339,787752785,923836192,992745173
Final consumption of resident and non-resident households on territory,695619985,714245241,819223624,965772137,1042950171
Final consumption non-resident households on territory (less),36241015,39888549,38723122,50108683,57583714
Final consumption resident households abroad,4565282,6411648,7252283,8172738,7378716
Government final consumption expenditure,121681099,140028924,157513643,180707807,209198629
Government - Compensation of employees,66986764,75829979,87344368,100906381,117305225
Government - Purchases of goods and services,54694335,64198944,70169275,79801427,91893404
Gross fixed capital formation,189094334,160718033,207815565,283163196,287681698
GFCF - Public sector,36725067,35335252,43406876,49075197,54684506
GFCF - Public sector machinery and equipment,6653631,6222501,6656300,7347602,10318242
GFCF - Public sector construction,30071436,29112751,36750576,41727595,44366264
GFCF - Private sector,152369267,125382781,164408689,234087999,232997192
GFCF - Private sector machinery and equipment,92147661,80423027,108677222,157848369,150411054
GFCF - Private sector construction,60221606,44959753,55731467,76239630,82586138
Change in stocks,17949462,-18427286,6707721,22528412,-357420
Exports of goods and services,227252949,222102643,233045907,311148042,374615845
Imports of goods and services (less),269387845,232632073,294036273,423670438,447067124
