table_id,table_number,source,title_tr,title_en
chunk_002_table04,6.21,TurkStat Yearbook 2012,Müze ve müzelere bağlı halka açık ören yeri ziyaretçileri ve gelirleri 2007-2011,Museums and ruins open to public visitors and receipts 2007-2011

indicator_tr,indicator_en,2007,2008,2009,2010,2011
Ziyaretçi sayısı,Number of visitors,18023618,22736238,23000957,25107203,28459311
Ücretli,Paying entrance fee,12111952,15823171,16504935,17209442,21984444
Ücretsiz,Free,5911666,6913067,6496022,7897761,6474867
Gelir (TL),Income (TL),71890414,116331539,148955195,170817942,252616445
