Table,21.6 Sectoral share of GDP at current prices (basic prices) 2008-2012
Source,TurkStat - National Accounts
Unit,Percent (%)
Yearbook_Page,353

Activity,2008,2009,2010,2011,2012
Agriculture hunting and forestry,7.4,8.1,8.3,7.8,7.8
Fishing,0.2,0.2,0.2,0.2,0.2
Mining and quarrying,1.4,1.5,1.4,1.5,1.5
Manufacturing,16.2,15.2,15.7,16.2,15.6
Electricity gas and water supply,2.2,2.4,2.3,2.2,2.3
Construction,4.7,3.8,4.2,4.5,4.4
Wholesale and retail trade,12.2,10.9,11.0,12.0,12.2
Hotels and restaurants,2.2,2.5,2.3,2.3,2.4
Transport storage communication,14.2,13.4,13.1,13.5,14.0
Financial intermediation,3.5,4.5,3.7,3.1,3.3
Ownership and dwelling,11.2,12.3,11.2,10.0,9.7
Real estate renting and business activities,4.3,4.7,4.8,4.7,5.0
Public administration defence social security,3.8,4.3,4.2,4.0,4.3
Education,2.9,3.3,3.3,3.3,3.5
Health and social work,1.6,1.7,1.6,1.5,1.5
Other community social personal service activities,1.7,1.7,1.7,1.6,1.6
Private households with employed persons,0.2,0.2,0.2,0.2,0.2
Sectoral total,89.9,90.8,89.2,88.7,89.2
Financial intermediation services indirectly measured (deduct),1.6,2.3,1.8,1.3,1.6
Taxes minus subsidies,11.7,11.5,12.5,12.7,12.4
GDP at purchaser prices,100.0,100.0,100.0,100.0,100.0
