Table,21.11 Growth rates of GDP expenditure at 1998 prices 2008-2012
Source,TurkStat - National Accounts
Unit,Percent (%)
Yearbook_Page,356

Category,2008,2009,2010,2011,2012
GDP,0.7,-4.8,9.2,8.8,2.2
Final consumption expenditure of resident households,-0.3,-2.3,6.7,7.7,-0.7
Final consumption resident and non-resident households on territory,-0.4,-2.0,5.9,7.7,0.1
Final consumption non-resident households on territory (less),-3.5,8.4,-4.9,3.5,12.8
Final consumption resident households abroad,-11.8,40.2,8.1,-13.1,-15.1
Government final consumption expenditure,1.7,7.8,2.0,4.7,5.7
Government - Compensation of employees,-0.4,1.4,1.2,3.9,3.6
Government - Purchases of goods and services,3.9,13.9,2.7,5.3,7.5
Gross fixed capital formation,-6.2,-19.0,30.5,18.0,-2.5
GFCF - Public sector,12.7,-0.6,17.7,-2.2,8.9
GFCF - Public sector machinery and equipment,20.1,-13.3,12.2,-7.3,41.2
GFCF - Public sector construction,10.6,3.4,19.1,-1.0,1.3
GFCF - Private sector,-9.0,-22.5,33.6,22.3,-4.5
GFCF - Private sector machinery and equipment,-7.0,-22.9,42.8,25.0,-6.6
GFCF - Private sector construction,-12.4,-21.9,17.7,16.7,0.4
Exports of goods and services,2.7,-5.0,3.4,7.9,17.2
Imports of goods and services (less),-4.1,-14.3,20.7,10.7,0.0
