table_id,table_ref,description,unit,series,year_2008,year_2009,year_2010,year_2011,year_2012
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Total,695619985,714245241,819223624,965772137,1042950171
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Food beverages and tobacco,179874879,187803397,221393936,255577859,279033505
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Clothing and footwear,39987590,36995705,43747710,52044920,51904664
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Housing water electricity gas and other fuels,141244640,157021656,168482765,180939417,197429331
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Furnishing household equipment and routine maintenance,49848475,49182999,59091022,75854701,79727172
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Health,28480651,27875079,29628997,31088480,32515872
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Transport and communication,128587523,124478178,152490478,187773730,202327834
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Recreation and culture,27420406,29282381,31288427,37254328,40834403
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Education,8887621,9340585,9979200,11518410,13037412
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Restaurants and hotels,41617885,46034919,50418899,60028297,66342369
chunk_011_table01,21.14,Final consumption expenditure resident and non-resident households on economic territory at current prices,Thousand TL,Miscellaneous goods and services,49670316,46230342,52702189,73691995,79797610
