Table_11.13,Employed population by economic activity by province,2 October 2011
Unit: Thousands (000) and percent (%)
Source: TurkStat Population and Housing Census 2011; Statistical Yearbook 2012 pp.191-192
Note: Figures may not add to totals due to rounding

Province,Employed_000,Agriculture_000,Industry_000,Services_000,Agriculture_pct,Industry_pct,Services_pct
Turkey Total,24320,5531,6605,12184,22.7,27.2,50.1
Adana,595,113,170,312,19.0,28.6,52.4
Adiyaman,187,95,34,58,50.8,18.4,30.8
Afyonkarahisar,237,96,53,88,40.4,22.5,37.1
Agri,151,54,42,55,35.8,28.0,36.1
Amasya,116,54,17,45,46.3,14.9,38.8
Ankara,1570,75,349,1146,4.8,22.2,73.0
Antalya,790,214,108,468,27.1,13.6,59.3
Artvin,73,29,11,33,40.1,14.7,45.2
Aydin,359,118,77,164,32.8,21.4,45.8
Balikesir,426,169,81,176,39.7,19.0,41.3
Bilecik,72,15,27,30,21.3,37.1,41.7
Bingol,78,27,16,35,35.0,20.7,44.3
Bitlis,91,40,13,39,43.6,13.7,42.7
Bolu,99,30,22,47,29.8,22.7,47.5
Burdur,97,45,17,35,46.3,17.8,35.8
Bursa,916,132,390,394,14.4,42.6,43.0
Canakkale,195,76,34,85,38.8,17.5,43.8
Cankiri,65,29,11,25,45.1,16.3,38.5
Corum,183,69,49,65,37.4,27.0,35.6
Denizli,360,106,116,138,29.3,32.3,38.4
Diyarbakir,347,82,87,178,23.6,25.2,51.3
Edirne,177,63,28,86,35.6,16.0,48.4
Elazig,159,45,32,82,28.5,20.1,51.4
Erzincan,74,29,9,36,38.6,12.5,48.8
Erzurum,242,110,32,100,45.3,13.3,41.4
Eskisehir,247,38,80,129,15.5,32.4,52.1
Gaziantep,460,75,172,213,16.3,37.5,46.2
Giresun,153,70,26,56,46.1,17.0,37.0
Gumushane,41,16,7,18,38.2,17.5,44.3
Hakkari,62,12,6,44,19.5,9.7,70.8
Hatay,423,107,103,213,25.3,24.3,50.3
Isparta,152,62,22,68,40.8,14.7,44.5
Mersin,517,166,101,250,32.0,19.6,48.4
Istanbul,4565,31,1677,2857,0.7,36.7,62.6
Izmir,1330,156,404,770,11.8,30.3,57.9
Kars,102,49,16,37,48.3,15.4,36.3
Kastamonu,156,82,20,54,52.8,12.7,34.5
Kayseri,368,54,135,179,14.6,36.7,48.7
Kirklareli,140,35,43,62,25.0,31.0,44.0
Kirsehir,75,29,15,31,38.6,19.9,41.5
Kocaeli,502,22,221,258,4.4,44.1,51.5
Konya,649,205,155,289,31.6,23.8,44.5
Kutahya,195,76,50,69,39.0,25.7,35.3
Malatya,230,78,47,105,34.0,20.2,45.7
Manisa,520,212,131,178,40.7,25.1,34.2
Kahramanmaras,307,97,97,112,31.8,31.7,36.5
Mardin,177,58,31,88,32.8,17.4,49.8
Mugla,343,107,50,186,31.1,14.7,54.2
Mus,115,65,17,34,56.2,14.4,29.4
Nevsehir,110,47,16,47,42.6,14.2,43.2
Nigde,122,58,22,42,47.5,18.4,34.1
Ordu,282,138,57,88,48.8,20.1,31.1
Rize,108,39,26,43,36.3,23.8,39.9
Sakarya,281,71,89,121,25.2,31.7,43.2
Samsun,434,169,90,175,38.9,20.8,40.3
Siirt,73,23,12,38,31.7,16.3,52.0
Sinop,77,27,20,30,35.2,26.0,38.8
Sivas,194,73,42,78,37.8,21.8,40.3
Tekirdag,317,49,148,121,15.4,46.6,38.1
Tokat,207,102,34,71,49.1,16.3,34.6
Trabzon,281,103,55,123,36.7,19.5,43.8
Tunceli,35,8,3,25,21.6,7.8,70.6
Sanliurfa,400,191,58,151,47.6,14.5,37.8
Usak,132,52,35,45,39.5,26.4,34.1
Van,249,65,83,101,26.1,33.4,40.5
Yozgat,159,78,29,52,48.8,18.4,32.9
Zonguldak,220,58,67,96,26.2,30.4,43.5
Aksaray,139,59,31,50,42.2,22.0,35.8
Bayburt,32,16,5,11,50.0,14.4,35.6
Karaman,81,32,20,29,39.7,25.1,35.2
Kirikkale,75,16,16,43,21.2,21.5,57.3
Batman,112,30,26,56,26.5,23.5,50.0
Sirnak,93,15,13,65,15.7,14.5,69.8
Bartin,69,25,18,26,36.3,26.5,37.2
Ardahan,47,31,2,14,66.2,3.8,30.0
Igdir,66,32,8,25,49.0,12.3,38.7
Yalova,69,8,20,41,11.7,29.0,59.2
Karabuk,67,10,18,39,15.0,26.8,58.2
Kilis,41,18,7,17,42.9,16.5,40.6
Osmaniye,132,34,39,59,25.8,29.6,44.5
Duzce,130,42,43,45,32.1,33.3,34.6
