Table_11.10,Unemployed persons by age groups (15+),2008-2012
Unit: Thousand (Bin)
Note: Figures less than 2,000 persons have small sample size - treat as indicative only
Source: TurkStat Statistical Yearbook 2012 p.187

Region,Sex,Age_Group,2008,2009,2010,2011,2012
Turkey,Males,Total,1877,2491,2088,1730,1635
Turkey,Males,15-24,584,746,604,505,475
Turkey,Males,25-44,991,1334,1094,888,828
Turkey,Males,45-64,297,404,381,329,326
Turkey,Males,65+,5,7,9,8,6
Turkey,Females,Total,734,980,959,885,883
Turkey,Females,15-24,313,380,359,327,301
Turkey,Females,25-44,375,537,529,487,513
Turkey,Females,45-64,45,63,71,71,69
Turkey,Females,65+,1,0,0,0,0
Urban,Males,Total,1431,1914,1604,1317,1247
Urban,Males,15-24,429,544,442,363,345
Urban,Males,25-44,754,1035,843,675,633
Urban,Males,45-64,244,329,312,272,265
Urban,Males,65+,4,6,7,7,4
Urban,Females,Total,622,833,821,770,771
Urban,Females,15-24,263,320,300,275,256
Urban,Females,25-44,320,459,459,431,453
Urban,Females,45-64,38,54,62,64,62
Urban,Females,65+,1,0,0,0,0
Rural,Males,Total,446,577,483,413,388
Rural,Males,15-24,155,202,161,142,130
Rural,Males,25-44,237,299,251,213,195
Rural,Males,45-64,53,75,69,57,61
Rural,Males,65+,1,1,2,1,2
Rural,Females,Total,112,147,138,115,112
Rural,Females,15-24,50,60,59,52,45
Rural,Females,25-44,55,78,70,56,60
Rural,Females,45-64,7,9,9,7,7
Rural,Females,65+,0,0,0,0,0
