table_number,table_title,source_page
13.21,Quarterly hours worked index in construction 2008-2012 (2010=100),247

NACE_code,NACE_description_EN,construction_type,2008,2009,2010,2011,2012
F,Construction,Total,114.9,92.3,89.9,94.9,95.3
F,Construction,Building,137.0,96.2,91.6,97.5,98.7
F,Construction,Civil engineering,90.0,87.9,86.2,89.1,87.7
41,Construction of buildings,Total,138.6,94.5,90.9,96.3,96.1
41,Construction of buildings,Building,138.6,94.5,90.9,96.3,96.1
42,Civil engineering,Total,91.1,84.7,83.1,89.5,84.9
42,Civil engineering,Civil engineering,91.1,84.7,83.1,89.5,84.9
43,Specialised construction activities,Total,106.8,98.0,93.5,96.4,102.2
43,Specialised construction activities,Building,131.5,102.3,94.3,102.0,108.3
43,Specialised construction activities,Civil engineering,87.7,94.7,92.3,88.4,93.4
