table_ref,NACE_Rev2,economic_activity,2008,2009,2010,2011,2012
25.7,B-N,Total,100.0,103.9,110.0,119.1,130.3
25.7,B-E,Industry,100.0,104.9,109.1,116.7,129.2
25.7,B,Mining and quarrying,100.0,91.7,91.6,103.2,124.3
25.7,C,Manufacturing,100.0,105.2,107.2,114.9,127.0
25.7,D,Electricity gas steam and air conditioning supply,100.0,110.8,143.6,137.7,142.6
25.7,E,Water supply sewerage waste management and remediation,100.0,109.5,127.0,159.3,169.3
25.7,F,Construction,100.0,104.7,113.8,128.4,137.5
25.7,G-N,Services,100.0,101.4,110.5,120.8,129.9
25.7,G,Wholesale and retail trade repair of motor vehicles and motorcycles,100.0,103.7,114.1,129.8,141.7
25.7,H,Transportation and storage,100.0,96.3,109.9,121.1,130.3
25.7,I,Accommodation and food service activities,100.0,104.7,117.9,126.1,148.8
25.7,J,Information and communication,100.0,113.7,108.0,117.4,114.8
25.7,K,Financial and insurance activities,100.0,98.0,106.8,117.3,123.3
25.7,M,Professional scientific and technical activities,100.0,102.7,122.9,127.6,150.3
25.7,N,Administrative and support service activities,100.0,106.1,116.7,124.5,147.6
