Table_11.1,Labour force status of non-institutional population (15+),2008-2012
Unit: Thousand (Bin)
Source: TurkStat Statistical Yearbook 2012 p.178

Region/Group,Indicator,2008,2009,2010,2011,2012
Turkey,Total population,69724,70542,71343,72376,73604
Turkey,Population 15+ age,50772,51686,52541,53593,54724
Turkey,Labour force,23805,24748,25641,26725,27339
Turkey,Labour force participation rate (%),46.9,47.9,48.8,49.9,50.0
Turkey,Employed,21194,21277,22594,24110,24821
Turkey,Unemployed,2611,3471,3046,2615,2518
Turkey,Unemployment rate (%),11.0,14.0,11.9,9.8,9.2
Turkey,Not in labour force,26967,26938,26901,26867,27385
Urban,Total population,48349,48747,49170,49535,50397
Urban,Population 15+ age,35697,36197,36576,36973,37656
Urban,Labour force,16063,16585,17105,17594,18186
Urban,Labour force participation rate (%),45.0,45.8,46.8,47.6,48.3
Urban,Employed,14010,13839,14679,15508,16167
Urban,Unemployed,2053,2746,2425,2087,2018
Urban,Unemployment rate (%),12.8,16.6,14.2,11.9,11.1
Urban,Not in labour force,19634,19611,19472,19378,19470
Rural,Total population,21375,21795,22172,22841,23207
Rural,Population 15+ age,15075,15489,15965,16620,17068
Rural,Labour force,7742,8163,8536,9131,9153
Rural,Labour force participation rate (%),51.4,52.7,53.5,54.9,53.6
Rural,Employed,7184,7438,7915,8603,8653
Rural,Unemployed,558,724,621,528,500
Rural,Unemployment rate (%),7.2,8.9,7.3,5.8,5.5
Rural,Not in labour force,7332,7326,7429,7489,7915
Males,Total population,34589,35000,35401,35909,36587
Males,Population 15+ age,24917,25369,25801,26320,26951
Males,Labour force,17476,17898,18257,18867,19147
Males,Labour force participation rate (%),70.1,70.5,70.8,71.7,71.0
Males,Employed,15598,15406,16170,17137,17512
Males,Unemployed,1877,2491,2088,1730,1635
Males,Unemployment rate (%),10.7,13.9,11.4,9.2,8.5
Males,Not in labour force,7441,7471,7544,7453,7804
Females,Total population,35134,35541,35941,36467,37017
Females,Population 15+ age,25855,26317,26740,27273,27773
Females,Labour force,6329,6851,7383,7859,8192
Females,Labour force participation rate (%),24.5,26.0,27.6,28.8,29.5
Females,Employed,5595,5871,6425,6973,7309
Females,Unemployed,734,979,959,885,883
Females,Unemployment rate (%),11.6,14.3,13.0,11.3,10.8
Females,Not in labour force,19526,19466,19357,19414,19581
