vintage_year,scheme,sector_code,sector_name,sic_range,naics_code,st_classification,productive_share,classification_source,bridge_quality,notes
1947,SIC-85,1,Dairy farm products,01,111CA;113FF,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [agriculture]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,2,Poultry & eggs,01,111CA;113FF,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [agriculture]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,3,Meat animals & misc livestock,01,111CA;113FF,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [agriculture]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,4,"Cotton, food grains, tobacco, fruits, vegetables",01-02,111CA;113FF,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [agriculture]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,5,Coal mining,11-12,212,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [mining]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,6,Crude petroleum & natural gas,13,211,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [mining]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,7,Stone & clay mining,14,212;213,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [mining]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,8,Chemical & fertilizer mineral mining,14,212;213,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [mining]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,9,New construction,15-17,23,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [construction]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,10,Maintenance & repair construction,15-17,23,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [construction]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,11,Ordnance & accessories,19,332,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [manufacturing]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
1947,SIC-85,12,Meat products,20,311FT,productive,1.0,"Book-confirmed (ST 1994): KB ch009_010 §3.6.1 (p.72-75): 'Production creates/transforms use values — agriculture, mining, construction, public utilities, manufacturing, government production enterprises, plus productive transport and many productive services'; Table 3.1/3.2 (table_006_008_01/02, p.40-41) 'Primary sectors > Production' [manufacturing]",coarse_aggregation,85-order classification is constant across book vintages 1947-1977 (categorical ST taxonomy; within-sector BLS productive-worker ratios applied separately at compute time).
