RowCode,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
111CA,1.2933324,0.0288936,0.0012693,0.002691,0.0019607,0.0011889,0.0030312,0.3605584,0.07725,0.0134709,0.0181669,0.0097878,0.0060869,0.0037143,0.0389616,0.0144343,0.0043539,0.0027603,0.0023051,0.0023591,0.0009962,0.0023955,0.0037751,0.0019452,0.0082273,0.0062385,0.001893,0.0034076,0.0035547,0.002204,0.0029675,0.0015187,0.0049614,0.0013689,0.0011379,0.0003683,0.0018906,0.0014346,0.001642,0.0010644,0.0009365,0.0011575,0.0014384,0.0012657,0.001178,0.0006764,0.0014802,0.0012696,0.0009199,0.0037552,0.0013723,0.0013967,0.0033386,0.0023202,0.0105034,0.002786,0.0056395,0.0115509,0.022946,0.0032837,0.0151367,0.0118437,0.0374476,0.002374,0.0050173,0.0038209,0.0008305,0.0019454,0.0108127,0.0002622,0.003096
113FF,0.0781783,1.1402792,0.0003809,0.0024971,0.0011091,0.000511,0.0046668,0.033481,0.0059322,0.0099164,0.1459731,0.0281021,0.0047122,0.0007553,0.0040463,0.011525,0.0017345,0.0024593,0.0013229,0.0017684,0.0006365,0.0018596,0.002879,0.0010414,0.0164885,0.0044234,0.0010765,0.0006769,0.0040606,0.0006406,0.0007094,0.0042566,0.0009463,0.0006906,0.0006992,0.0002291,0.0011184,0.0007516,0.0007067,0.0005085,0.0003374,0.0006184,0.0007726,0.0004703,0.0004435,0.0002601,0.0005112,0.000681,0.0003636,0.000976,0.0004726,0.0005047,0.0009647,0.0008519,0.001524,0.0008008,0.0011657,0.0016934,0.0031186,0.0006268,0.0030857,0.0038041,0.00877,0.0009653,0.001043,0.0007315,0.0005116,0.0013527,0.0030601,0.000255,0.0017521
211,0.0274184,0.0098319,1.0848999,0.0339929,0.0176839,0.0385346,0.0213154,0.0162446,0.0246108,0.0057787,0.0178159,0.0214115,0.0145427,0.6082262,0.0393833,0.0268618,0.0159252,0.0178905,0.0114431,0.0097034,0.0037046,0.0112502,0.0106234,0.0062282,0.0136811,0.0120866,0.0067106,0.0068829,0.0074702,0.0061956,0.0691841,0.0425183,0.0647128,0.0431862,0.0202381,0.0032111,0.0294725,0.030382,0.0062751,0.0033948,0.0025186,0.0036901,0.0046277,0.0073694,0.0072715,0.0016083,0.0105057,0.0066445,0.0025974,0.0045251,0.0043912,0.0043985,0.0075946,0.016756,0.0073989,0.0054954,0.006949,0.0076609,0.0069067,0.0043627,0.0081843,0.0081852,0.0083755,0.0062029,0.0311354,0.0150777,0.0062584,0.0926254,0.0248261,0.0014459,0.0113075
212,0.0081563,0.0013655,0.003253,1.101634,0.0043439,0.0097547,0.0155332,0.0071445,0.0083583,0.0016472,0.0044566,0.0193852,0.0048525,0.0108092,0.0154991,0.0098506,0.0943674,0.0651809,0.0184714,0.0117825,0.0029037,0.0134624,0.0118112,0.0064797,0.0077486,0.0065005,0.0013315,0.0013374,0.0016156,0.0014663,0.0026041,0.0038429,0.0036184,0.00231,0.0015509,0.0011469,0.0024183,0.0023104,0.0013482,0.0010826,0.0008588,0.0023151,0.0023855,0.0009963,0.001535,0.0004958,0.0015904,0.0013108,0.0006565,0.0021634,0.0009944,0.0011399,0.0026648,0.0042189,0.0030033,0.001666,0.0020515,0.0019602,0.0024251,0.0028544,0.0074791,0.0029141,0.0031949,0.0036525,0.0018455,0.0023144,0.0107845,0.0211665,0.0028827,0.0007354,0.0025651
213,0.0015896,0.0005507,0.0581141,0.0154571,1.0270181,0.0021939,0.0014132,0.0009982,0.001449,0.0003392,0.0010636,0.0014579,0.0008715,0.0327039,0.002333,0.0016243,0.0020508,0.0018204,0.0010024,0.0007879,0.0002781,0.0008895,0.0008167,0.0005047,0.0009262,0.0007832,0.0003854,0.0003943,0.0004283,0.0003569,0.0037504,0.0023445,0.0035837,0.0023604,0.0011169,0.000229,0.001625,0.0016758,0.0003615,0.0002053,0.0001492,0.0002508,0.0002888,0.0004129,0.0004148,9.54e-05,0.0005899,0.0003825,0.000151,0.000293,0.0002591,0.0002609,0.0004512,0.0010036,0.0004421,0.0003219,0.0004077,0.0004425,0.0004211,0.000274,0.0005419,0.0004899,0.0005013,0.0003955,0.0017036,0.0008634,0.0004788,0.0052631,0.0013772,9.04e-05,0.0006502
22,0.0317958,0.0051594,0.0190048,0.044301,0.0112059,1.0234627,0.0135996,0.024043,0.0301625,0.0073809,0.0262773,0.0458536,0.0260859,0.024058,0.0289664,0.0326316,0.0376999,0.0368383,0.0256422,0.0188993,0.0096023,0.0173796,0.0198321,0.0156201,0.021307,0.014863,0.0119173,0.018561,0.0384361,0.0345036,0.0075871,0.0067619,0.0152003,0.0172517,0.008576,0.0126691,0.0129459,0.0250522,0.0199597,0.0065448,0.0063931,0.0095284,0.0108185,0.0078993,0.0068402,0.0037088,0.0189863,0.0080201,0.0059076,0.0078887,0.0045038,0.0122232,0.0089513,0.0189977,0.0186421,0.0092467,0.0157137,0.0211891,0.0130477,0.0099566,0.0230069,0.0315127,0.0260766,0.0123451,0.0278401,0.0094872,0.0064648,0.0154768,0.0121557,0.0016126,0.0357583
23,0.0119978,0.0027405,0.005666,0.0418183,0.0228248,0.02125,1.0057912,0.0099151,0.0096257,0.0035011,0.0101585,0.0157517,0.0105563,0.0245134,0.0103603,0.0115897,0.0173525,0.0159474,0.0119129,0.0093391,0.0043374,0.0075546,0.0087861,0.0066913,0.0091158,0.0073408,0.0071796,0.010565,0.0127335,0.0157455,0.0072318,0.0354426,0.0101247,0.0098525,0.0090305,0.011404,0.0128537,0.0153782,0.0113188,0.0037189,0.0039968,0.007419,0.00585,0.0101992,0.0078923,0.0036447,0.0083069,0.006384,0.005219,0.0061342,0.0031194,0.006991,0.0059095,0.0085501,0.0072873,0.005488,0.0082922,0.011156,0.0096397,0.0067421,0.0108356,0.0271723,0.0093638,0.0101006,0.011007,0.0197999,0.005183,0.1534167,0.0188589,0.0388488,0.0461377
311FT,0.1076796,0.0080881,0.0012262,0.0021984,0.0022388,0.0019976,0.0020426,1.2527135,0.012959,0.0170443,0.0048355,0.0075673,0.0083695,0.0034593,0.0170058,0.0084771,0.0077283,0.0042427,0.0026414,0.0024475,0.0009476,0.0023633,0.003158,0.0017356,0.0037611,0.0031313,0.0038151,0.0021532,0.0049834,0.0031545,0.0076457,0.0015555,0.0133743,0.0021196,0.0017482,0.0005383,0.0026562,0.0021098,0.0022893,0.0018494,0.001861,0.0019878,0.002933,0.0029139,0.0025577,0.0014656,0.003426,0.0024465,0.0020156,0.007507,0.0030241,0.0028561,0.0033781,0.0031316,0.0317948,0.0041021,0.0141583,0.0348191,0.0756874,0.0096466,0.0391376,0.035664,0.1121414,0.0051527,0.0157485,0.0099285,0.0016689,0.0021573,0.0289855,0.0003561,0.0063634
313TT,0.0020452,0.0019301,0.0006082,0.0016247,0.0011007,0.0005136,0.0035481,0.0028378,1.1827049,0.115235,0.0083881,0.0305442,0.0106218,0.0012978,0.0035949,0.0177015,0.0044563,0.0019816,0.0015421,0.0047057,0.0007938,0.0019332,0.0113241,0.0076257,0.0562506,0.0182143,0.0023403,0.000868,0.001241,0.0130898,0.0006899,0.0008999,0.0028793,0.0011238,0.0009211,0.0002699,0.0016635,0.0010233,0.0024149,0.0007148,0.0018221,0.0007928,0.0006845,0.0004397,0.0005189,0.0002857,0.000535,0.001097,0.0003327,0.0009621,0.000511,0.0004899,0.0010861,0.0027619,0.000808,0.0012306,0.0018765,0.0092034,0.0083507,0.000599,0.0036276,0.0088759,0.0013717,0.0022169,0.0011172,0.0031903,0.0016173,0.0014621,0.0018812,0.0002838,0.0010325
315AL,0.0004147,0.0001014,9.25e-05,0.0001955,0.000169,0.0001113,0.000186,0.0005245,0.0056123,1.0573898,0.0003118,0.0005283,0.0198666,0.0001516,0.0002286,0.0003689,0.0002328,0.0003924,0.0002276,0.0003467,9.07e-05,0.00021,0.0034651,0.00026,0.0007011,0.0009665,0.0005565,0.000276,0.0001725,0.0015005,0.0001369,0.0001385,0.0003014,0.0002678,0.0002171,4.93e-05,0.0002068,0.0002119,0.0004276,0.0004047,0.0003025,0.0007593,0.0003147,0.000143,0.0001767,0.0001742,0.000179,0.0005543,0.0001277,0.000214,0.0001144,0.0001872,0.00038,0.0011495,0.0004747,0.0001957,0.0003161,0.0002453,0.0023489,0.0007522,0.0003635,0.0003501,0.0004129,0.0021489,0.000816,0.0005282,0.0003325,0.0002744,0.0010529,4.08e-05,0.0001866
