RowCode,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
111CA,1.1930905,0.0357639,0.0007421,0.0022576,0.0014566,0.0008525,0.0032602,0.3504795,0.0875714,0.0248896,0.0220015,0.0097406,0.0067971,0.0013241,0.0402792,0.0163988,0.0047958,0.0023035,0.002271,0.0024379,0.0016768,0.0027779,0.0041372,0.0018979,0.008246,0.009892,0.0010598,0.0022514,0.0036126,0.0019305,0.0020884,0.0013865,0.0030294,0.0010043,0.0008319,0.0011739,0.0018204,0.0009594,0.0015003,0.0013909,0.0011976,0.0009602,0.0012785,0.0010713,0.0010765,0.000583,0.0011494,0.0010127,0.0008316,0.0020669,0.0010283,0.0013639,0.0029861,0.0025232,0.0112061,0.0031371,0.0074633,0.0134217,0.0168234,0.0040713,0.0097993,0.0099837,0.0312798,0.0018819,0.0040598,0.0031592,-0.0009031,0.0016923,0.0113275,0.000238,0.0024172
113FF,0.0769398,1.1538774,0.0002568,0.0020939,0.0008134,0.0004944,0.0059703,0.035976,0.0071295,0.0094213,0.1741128,0.0289666,0.0061208,0.0003953,0.0045878,0.0128488,0.0022127,0.001778,0.0012681,0.0020006,0.0012327,0.0020643,0.003451,0.0012641,0.0189758,0.0056963,0.0008023,0.000556,0.0050541,0.0006628,0.0006765,0.0050856,0.0008074,0.0006724,0.0008287,0.0012368,0.0012411,0.0007732,0.000902,0.0012294,0.000862,0.000875,0.0017067,0.0006187,0.0006293,0.0002964,0.0006297,0.000597,0.0004502,0.0009508,0.000464,0.0006451,0.0009266,0.0010662,0.0021599,0.0010869,0.0014314,0.0021707,0.0041183,0.0010095,0.0029392,0.0039871,0.0077908,0.0010209,0.001181,0.0007459,0.0006713,0.0016147,0.0031699,0.000356,0.0027482
211,0.0532814,0.0242504,1.1145916,0.0706148,0.028809,0.2516271,0.0373501,0.0381909,0.0586592,0.0258879,0.0415422,0.0523817,0.0344075,0.7268003,0.0952268,0.0616287,0.0497528,0.0523929,0.0309362,0.0260111,0.0158213,0.0311774,0.0292602,0.0164621,0.0318185,0.034549,0.0119219,0.0106897,0.0196845,0.0140196,0.1632391,0.0885,0.1179197,0.0939652,0.0530935,0.0419048,0.0641292,0.026315,0.0146146,0.0102171,0.0081218,0.0079647,0.011507,0.0171555,0.0151891,0.0039874,0.0207672,0.0145044,0.006284,0.0107654,0.0085324,0.0149309,0.0151612,0.0415001,0.0191968,0.0141804,0.0192409,0.0198289,0.015804,0.0132094,0.0193273,0.0194232,0.0211858,0.0150518,0.0587418,0.0384422,0.0178155,0.139584,0.0561008,0.0027807,0.0311608
212,0.0129137,0.0025309,0.0028286,1.0898315,0.0044192,0.0288841,0.0188845,0.0127054,0.0153668,0.0051028,0.0075351,0.027099,0.0076685,0.0053316,0.0211066,0.0148985,0.1258292,0.0877264,0.0286459,0.0191856,0.0066635,0.0232552,0.0185687,0.0102689,0.0113791,0.012242,0.0015364,0.0014103,0.0025897,0.001918,0.0029363,0.0064261,0.005028,0.0026062,0.0020823,0.0059058,0.0041694,0.0036662,0.0021379,0.0025663,0.0024946,0.0031206,0.002936,0.0014425,0.0018816,0.0006177,0.0020555,0.0015267,0.0009333,0.0029986,0.0011951,0.0022019,0.002682,0.0060551,0.0046625,0.002787,0.0032862,0.0029636,0.0031025,0.0045869,0.0080466,0.0032256,0.004089,0.0037555,0.0022355,0.002654,0.0098558,0.0217519,0.0034844,0.000947,0.0047775
213,0.0018826,0.0007908,0.0334896,0.0219389,1.0153169,0.0081073,0.0016093,0.0014626,0.0021018,0.000904,0.0015091,0.002195,0.0012337,0.02191,0.0033113,0.0022433,0.0038927,0.0032941,0.0017366,0.0013704,0.000708,0.0015848,0.0014129,0.0008562,0.0013399,0.0013662,0.0003992,0.0003595,0.0006531,0.0004681,0.0049706,0.0028062,0.003825,0.002891,0.0016552,0.0014762,0.0020236,0.0008833,0.0004962,0.0003845,0.0003012,0.0003447,0.0004307,0.0005529,0.0005042,0.000136,0.0006753,0.0004768,0.0002132,0.0004178,0.0002937,0.0005122,0.0005244,0.0014617,0.0006818,0.0004928,0.0006559,0.0006655,0.000564,0.0004938,0.0007547,0.000665,0.0007353,0.0005504,0.0018374,0.0012393,0.0007443,0.0046529,0.0017684,0.0001082,0.0010521
22,0.0324317,0.0083518,0.0099916,0.0368935,0.0077453,1.0483603,0.0149324,0.0343698,0.0475311,0.0277997,0.0338031,0.0599634,0.0281176,0.0123909,0.040447,0.0442906,0.0561795,0.0631374,0.0361028,0.0278935,0.0201069,0.031369,0.0319957,0.0195826,0.0286284,0.0248105,0.0136999,0.0152283,0.0425162,0.0294677,0.0122244,0.0098539,0.0159963,0.0197662,0.0131155,0.0777073,0.064071,0.0657927,0.0256063,0.0095416,0.0084907,0.0090639,0.0114421,0.0092146,0.0106497,0.0045616,0.018859,0.0139365,0.0075303,0.011421,0.0069048,0.0233282,0.0095126,0.0160654,0.030491,0.0124852,0.0145629,0.0216259,0.0156955,0.0154579,0.0207289,0.0333518,0.0358947,0.0152058,0.0164837,0.0093639,0.0099289,0.0170325,0.015831,0.0014504,0.0679387
23,0.0171495,0.0037669,0.0082891,0.0280239,0.0184525,0.0220828,1.0054462,0.0114586,0.0114675,0.0094437,0.0108837,0.0126598,0.0092648,0.0180672,0.0110552,0.0113665,0.0144098,0.0154687,0.0102057,0.0086285,0.0068596,0.008908,0.0088348,0.0058183,0.0095635,0.0080744,0.0055794,0.0060074,0.0106402,0.0089142,0.0077735,0.0180033,0.0098739,0.0091085,0.0084969,0.0766592,0.0099138,0.015494,0.0111204,0.0044444,0.0054364,0.0077158,0.004789,0.0155191,0.0108305,0.0041268,0.0119715,0.0061125,0.0058449,0.0079875,0.0042095,0.0080869,0.005103,0.0072709,0.0112274,0.0075941,0.0063174,0.0126994,0.0110392,0.0105748,0.0112305,0.0096649,0.0110913,0.0120826,0.0089813,0.0123701,0.0094562,0.1529686,0.0168698,0.0442935,0.0672122
311FT,0.1091562,0.0178776,0.0007059,0.0018459,0.0017029,0.0013203,0.001916,1.2722882,0.0156064,0.0316404,0.0069384,0.0075846,0.0094165,0.0014453,0.0225469,0.0115358,0.0091301,0.0033239,0.0025381,0.0024447,0.0016347,0.0026585,0.0033517,0.0016518,0.0041419,0.0044304,0.0017792,0.0011716,0.0037915,0.002468,0.0059855,0.0012644,0.0075993,0.0014385,0.0011816,0.0014862,0.0021648,0.0013955,0.0016698,0.0023158,0.002151,0.0015689,0.00227,0.0023225,0.0024749,0.0013184,0.0026639,0.0018713,0.0017446,0.0030898,0.0021925,0.0023565,0.0027587,0.0032285,0.0359253,0.0040131,0.0173434,0.0416726,0.0557231,0.0127571,0.0230054,0.0298566,0.1017185,0.0031894,0.0129608,0.0087108,0.0017234,0.0016918,0.0316755,0.0002409,0.0038497
313TT,0.0033217,0.0035615,0.0004106,0.0013328,0.00094,0.0005106,0.0031306,0.0031896,1.223036,0.2143219,0.0084229,0.0284914,0.0133647,0.0006611,0.0049176,0.0193539,0.0037668,0.0019257,0.001632,0.004268,0.0013892,0.0023049,0.0116317,0.0064666,0.0460079,0.0217187,0.0017286,0.000835,0.0019727,0.010903,0.0007565,0.0009128,0.0057027,0.0010561,0.0010644,0.0012191,0.0018409,0.0008047,0.0033142,0.0017126,0.0024196,0.0013742,0.0010428,0.0006422,0.0008091,0.0003301,0.0007653,0.0013137,0.0004307,0.0009925,0.0005197,0.0007434,0.0013183,0.0037504,0.0014976,0.0018472,0.0031739,0.0131833,0.0091338,0.0009257,0.009006,0.0128355,0.0016231,0.003628,0.0010174,0.0028528,0.0025455,0.0014398,0.0025434,0.0003181,0.0011536
315AL,0.000381,0.0002055,0.000107,0.0003118,0.0002918,0.0001961,0.0003054,0.0004513,0.0066354,1.1796788,0.0005302,0.0006427,0.0235338,0.0001535,0.0003912,0.0005236,0.0004005,0.0006444,0.0004403,0.0006038,0.0003342,0.0004334,0.0051326,0.0004112,0.0007988,0.0015865,0.0013413,0.0002763,0.000307,0.0053208,0.0002596,0.0002724,0.0004497,0.0003858,0.0003419,0.0003932,0.0002935,0.0002845,0.0006365,0.0015666,0.0005698,0.0033857,0.0006441,0.0003521,0.0005136,0.0002384,0.0004776,0.0006493,0.0002909,0.0004622,0.0002921,0.00046,0.0011417,0.004201,0.0009209,0.0007259,0.0012627,0.0004251,0.0125472,0.0009388,0.0010436,0.0007422,0.0012481,0.0018105,0.0010188,0.0007316,0.0005415,0.0004386,0.0022914,4.02e-05,0.0005108
321,0.0052861,0.0015801,0.0009212,0.0035274,0.0035197,0.0020181,0.0394941,0.0050544,0.0048309,0.003072,1.2762865,0.0404421,0.0082472,0.0013907,0.0037711,0.0165023,0.0069851,0.0067246,0.0043039,0.0077956,0.0049503,0.0077511,0.0149521,0.0049145,0.1182962,0.0127104,0.0033234,0.0019545,0.0057519,0.0023431,0.0013058,0.0356956,0.0021665,0.0026149,0.0021093,0.0059038,0.0030412,0.0037741,0.0039556,0.0035365,0.0041794,0.0042744,0.0098467,0.0022079,0.0021637,0.0009324,0.0021317,0.0022207,0.0016295,0.0032226,0.0013849,0.0020865,0.0029203,0.0031781,0.0032702,0.0030427,0.0026914,0.0033292,0.0150202,0.0029626,0.0043395,0.0045015,0.0037737,0.0036845,0.0019698,0.0018789,0.0023038,0.0087851,0.00417,0.0022163,0.0167576
322,0.0102991,0.003595,0.0020748,0.0072915,0.0054629,0.0029842,0.0097228,0.0463253,0.0222253,0.0132256,0.0245985,1.3637118,0.2101474,0.002865,0.0227664,0.0476209,0.0306506,0.0230839,0.0171552,0.0194176,0.0113023,0.0270998,0.028066,0.0110291,0.0389246,0.0317839,0.0085899,0.0031935,0.0111875,0.004915,0.0055473,0.0056444,0.0072019,0.0068835,0.0242216,0.0132367,0.026427,0.0049112,0.0075197,0.0296988,0.0063728,0.0049396,0.0078832,0.0062395,0.0064307,0.0029684,0.0059296,0.0059048,0.0040991,0.0079915,0.0040845,0.0069101,0.0090194,0.0106019,0.0075354,0.0081172,0.0099449,0.0109302,0.0129146,0.006532,0.005982,0.0193996,0.0127097,0.0066241,0.0040164,0.0053123,0.0169682,0.0060424,0.0138676,0.0009177,0.0059131
323,0.0027503,0.0017246,0.0011681,0.0030859,0.0036912,0.0024104,0.0030104,0.003551,0.0041815,0.0077041,0.0038598,0.0046065,1.0234922,0.0013388,0.0041002,0.0040278,0.0034731,0.0063279,0.004315,0.0041204,0.0032532,0.0037619,0.0040657,0.0029414,0.0044846,0.0047157,0.0081684,0.0034378,0.0044187,0.0043597,0.0030205,0.0036965,0.004867,0.00346,0.0039817,0.0052276,0.003976,0.0022481,0.0082793,0.0587543,0.0127921,0.0054543,0.0174455,0.0054989,0.0108853,0.0056778,0.0092416,0.0054611,0.0058693,0.0103474,0.004946,0.0088764,0.0084439,0.0038864,0.0093005,0.0060117,0.0066248,0.0041643,0.0139717,0.0144193,0.0061607,0.0068308,0.0050012,0.0051097,0.0024635,0.0064574,0.0135642,0.0048765,0.0092174,0.0005057,0.0051995
324,0.0608189,0.0289465,0.0153066,0.0838953,0.0363384,0.0671956,0.0458186,0.040384,0.0576157,0.0247925,0.0445916,0.051045,0.0359847,1.0502794,0.0851436,0.0609369,0.0495544,0.0519414,0.0302792,0.0259207,0.0145361,0.0315941,0.0283971,0.0157657,0.0326145,0.0372049,0.0111708,0.0095522,0.0136808,0.0098771,0.2189178,0.1177999,0.1538903,0.12122,0.0682821,0.0177858,0.0675945,0.0156265,0.0114438,0.0102622,0.007827,0.0075819,0.0115005,0.0201094,0.0162103,0.0037014,0.021771,0.0148955,0.0057525,0.010307,0.0090825,0.0123029,0.0169604,0.0502375,0.0149647,0.0137237,0.0193043,0.0188325,0.0150136,0.0121251,0.0189655,0.0152505,0.0169652,0.0148449,0.0420802,0.0490631,0.0149693,0.0735709,0.0710941,0.0032825,0.0217264
325,0.1114781,0.0781367,0.0200759,0.0493771,0.0273192,0.0131779,0.0344634,0.0688755,0.3959501,0.0979194,0.084231,0.1285579,0.1171865,0.0350382,1.4600665,0.4688391,0.0750596,0.0398822,0.0527964,0.0509928,0.0413275,0.069354,0.0892428,0.0362807,0.100554,0.114771,0.0109431,0.0073432,0.0129782,0.0111687,0.013752,0.0157633,0.0190881,0.0144553,0.0105149,0.0141285,0.0202364,0.0144974,0.0123238,0.0176902,0.0107187,0.0125827,0.0116048,0.0073256,0.0091165,0.0037306,0.0089311,0.0080366,0.0062183,0.0202661,0.0069296,0.0146558,0.0222016,0.0477754,0.0161894,0.0688106,0.0952881,0.0381014,0.0240287,0.011229,0.0183324,0.0141689,0.0177666,0.0227165,0.0108781,0.0190928,0.0215991,0.0301244,0.0334361,0.0024054,0.0257271
