RowCode,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
321,0.0035267,0.0021645,0.0011534,0.0034794,0.0025747,0.0017059,0.0307043,0.0042408,0.0035691,0.0015495,1.2485263,0.0412641,0.0072587,0.0014909,0.0028181,0.0094478,0.0058769,0.0056765,0.0034721,0.0064453,0.0025176,0.005415,0.0141951,0.0038025,0.1099223,0.0098344,0.0030684,0.0016392,0.0044862,0.0017841,0.0012786,0.0228749,0.0020089,0.0021244,0.0016955,0.0020596,0.0031214,0.0046433,0.0028828,0.0020232,0.0018217,0.0028433,0.0071535,0.0012028,0.0014835,0.0007115,0.0015753,0.0024442,0.0013809,0.0018597,0.0007741,0.0012952,0.0020523,0.0022032,0.0018332,0.0018274,0.0021225,0.0021718,0.0111225,0.001145,0.002727,0.0040356,0.0028882,0.002736,0.0045393,0.001436,0.0016722,0.0067625,0.003442,0.0013774,0.011318
322,0.0098762,0.0036858,0.0034891,0.0073929,0.0042486,0.0034808,0.0084433,0.0437557,0.0213161,0.0087021,0.0214263,1.3345638,0.1849778,0.0043217,0.0211883,0.0427532,0.0276617,0.02379,0.0169186,0.0187168,0.0070098,0.0237434,0.0266962,0.0099387,0.0375266,0.0255376,0.0089265,0.0031276,0.0091846,0.004322,0.0065961,0.0057485,0.00942,0.0063232,0.0330345,0.0060674,0.0319017,0.008261,0.0059493,0.018958,0.0038715,0.0050773,0.0090054,0.0043536,0.0051288,0.0018202,0.0048461,0.0067145,0.004608,0.0062346,0.003502,0.0059241,0.0092775,0.0095188,0.0050819,0.0062306,0.0080478,0.0088989,0.0131522,0.0034356,0.0052069,0.0178759,0.011797,0.0067925,0.0059018,0.0043822,0.0123264,0.0057284,0.0125306,0.0006567,0.0050755
323,0.0022006,0.0013343,0.0015778,0.002228,0.0023741,0.0017352,0.0023299,0.002908,0.0047592,0.0050097,0.0029508,0.0047259,1.0209998,0.0016744,0.0030551,0.0032446,0.0025656,0.0047271,0.0031812,0.0031388,0.0017567,0.0028027,0.0035246,0.0022142,0.0040195,0.0031319,0.0079696,0.0025701,0.0031317,0.0028656,0.0022383,0.0025491,0.0036677,0.0027777,0.0019435,0.0021545,0.0041502,0.0022947,0.0056211,0.0279694,0.0069456,0.0043378,0.0222113,0.0035533,0.0064476,0.0032983,0.0056773,0.0043198,0.0047604,0.0059429,0.0025015,0.004946,0.0064058,0.0026225,0.0052956,0.0041845,0.0055528,0.0029733,0.0116525,0.0072316,0.0031207,0.005713,0.0032951,0.0039401,0.0028183,0.0043829,0.0083702,0.0039111,0.0069033,0.0003378,0.0029237
324,0.0559728,0.0344832,0.038723,0.1094305,0.0356387,0.0712592,0.0586152,0.0429233,0.0562759,0.0182778,0.046959,0.0512418,0.0352225,1.0792068,0.0750745,0.0597269,0.0506407,0.0596678,0.0312336,0.0275513,0.0096589,0.0346038,0.0310713,0.0155837,0.0377577,0.0326448,0.0149447,0.0124699,0.0160975,0.0108382,0.2221432,0.1234179,0.1821952,0.193717,0.0518294,0.0113796,0.0957037,0.025052,0.0122729,0.0094388,0.0061346,0.0093104,0.0142995,0.0162352,0.0179106,0.0035809,0.0269099,0.0179452,0.0066909,0.0106065,0.0073004,0.0112366,0.015048,0.040177,0.0131762,0.0123305,0.0193093,0.0173269,0.0186432,0.0075468,0.0182818,0.0198483,0.0187393,0.0160541,0.0552128,0.0521712,0.0153252,0.0941651,0.0681204,0.0033469,0.0241043
325,0.1361173,0.0991114,0.0425284,0.0628768,0.026346,0.0190723,0.0381892,0.0878964,0.4153382,0.0764935,0.0923523,0.1527862,0.1283523,0.0719089,1.4706291,0.4625986,0.093955,0.0444495,0.0535038,0.0550203,0.0251025,0.0681783,0.093578,0.0347853,0.1131904,0.1061102,0.0149325,0.0096459,0.0147384,0.0123935,0.0232078,0.0211281,0.0282511,0.0235386,0.0107347,0.0101707,0.0274559,0.0237718,0.0136467,0.0160847,0.0082622,0.0153022,0.0166041,0.0068144,0.009746,0.0037508,0.0105452,0.0124068,0.00764,0.0232662,0.0072249,0.0124017,0.0229087,0.0455387,0.0139347,0.0511606,0.0470412,0.0332041,0.0274537,0.0076663,0.0176091,0.016355,0.0226999,0.0243503,0.0195731,0.0174017,0.0218109,0.0393197,0.035611,0.0020765,0.0315832
326,0.0128502,0.0063061,0.0044952,0.0227767,0.0089895,0.0039265,0.024904,0.0343858,0.024123,0.0120527,0.0205146,0.0379276,0.0498554,0.0055988,0.0286703,1.1039434,0.0221732,0.0150615,0.0162284,0.0460223,0.0127082,0.0313303,0.0683062,0.0257979,0.0659319,0.0434935,0.0102675,0.0064909,0.0117515,0.0043504,0.0075595,0.0049315,0.0088407,0.0089595,0.003182,0.008365,0.0263356,0.0106451,0.007608,0.0065589,0.0030169,0.0119967,0.0068731,0.0025265,0.0034998,0.001439,0.0037085,0.0092446,0.0027022,0.0070241,0.0041577,0.003365,0.006343,0.011826,0.0055379,0.0122829,0.0092308,0.0099199,0.0159915,0.0022168,0.0050125,0.0055292,0.0126061,0.0137839,0.0074238,0.0078562,0.0067832,0.0160666,0.0090455,0.0011989,0.0051688
327,0.003143,0.0014811,0.0044573,0.0081169,0.0055494,0.002658,0.0425544,0.0105163,0.0055854,0.0029853,0.0121281,0.0086297,0.0034612,0.0056898,0.005686,0.0112574,1.1193276,0.0205242,0.0110505,0.0132643,0.002947,0.0216393,0.0255553,0.0052362,0.0113064,0.0095264,0.0015975,0.0020216,0.0020246,0.0014526,0.0023447,0.0032943,0.0031355,0.0025499,0.0012343,0.002352,0.0028756,0.004113,0.0020685,0.0013328,0.0008294,0.0054841,0.0056089,0.0011976,0.0015276,0.000576,0.0017702,0.0028156,0.0010214,0.0035137,0.0011043,0.0014379,0.0030833,0.0038102,0.0017222,0.0033653,0.0041707,0.0027879,0.0039356,0.0009547,0.002489,0.0025489,0.0042043,0.004168,0.0028958,0.0021782,0.0029345,0.015297,0.002829,0.0016986,0.0043657
331,0.0134783,0.0073689,0.039078,0.0342165,0.0208123,0.0121745,0.044759,0.025595,0.0249903,0.0086747,0.0332152,0.0451645,0.0203829,0.0291162,0.0196287,0.0416079,0.03677,1.4855507,0.3791685,0.2579703,0.0444042,0.2718734,0.2214036,0.116968,0.1163419,0.087553,0.0068569,0.0057981,0.0066757,0.004855,0.011376,0.0317815,0.0310709,0.0143507,0.006283,0.0138436,0.0197871,0.0182976,0.0062907,0.0075798,0.0030546,0.0151218,0.011936,0.0033235,0.0048623,0.0017098,0.0056132,0.008057,0.0031489,0.0086424,0.0062042,0.0050752,0.0094911,0.0381759,0.0074192,0.0064005,0.0079965,0.0066751,0.015515,0.0027891,0.0106456,0.0080418,0.0081728,0.0229495,0.0197069,0.0150709,0.0107165,0.0260068,0.0084958,0.0020549,0.0115358
332,0.0178778,0.0092641,0.0301994,0.0309056,0.0174511,0.0119774,0.074295,0.0403336,0.028451,0.011011,0.0556307,0.0741293,0.0325362,0.0246606,0.0343225,0.0604191,0.0363163,0.0755549,1.1574958,0.1286225,0.0387651,0.1177515,0.1116398,0.0897882,0.1036711,0.0508054,0.0076615,0.0072754,0.0077052,0.0057374,0.0110706,0.0167469,0.062026,0.0143159,0.0078972,0.0300849,0.0192737,0.0201145,0.008004,0.0130357,0.0034574,0.0272769,0.0161013,0.0041638,0.0061209,0.0020814,0.0070163,0.0101192,0.0039519,0.0100385,0.0087936,0.006747,0.0102142,0.0483226,0.007639,0.006735,0.0084718,0.0074386,0.019905,0.0031451,0.0106459,0.0124479,0.0119038,0.0206108,0.025042,0.0187039,0.0132838,0.0349637,0.0103542,0.0032101,0.012678
333,0.0134963,0.0069952,0.0242511,0.0415826,0.0333621,0.0087172,0.027193,0.0130438,0.0084979,0.0041661,0.0123104,0.0179383,0.0188818,0.0178518,0.0138357,0.0164599,0.0098975,0.0220088,0.0255742,1.1125883,0.005061,0.0257609,0.0900143,0.0263876,0.0106686,0.0181933,0.0042069,0.003981,0.0046074,0.0040988,0.0069396,0.0087606,0.0101897,0.0087705,0.0043674,0.0073634,0.0193393,0.021871,0.0038795,0.0036547,0.002009,0.005808,0.0069521,0.0018283,0.0025612,0.0010018,0.0030728,0.0067809,0.0017587,0.0043432,0.0041798,0.0025703,0.0067751,0.0469094,0.0078754,0.0030949,0.0042315,0.0041037,0.0053771,0.0017592,0.0037463,0.0038253,0.0044214,0.0184879,0.0072151,0.0062814,0.0037299,0.0146341,0.005808,0.0011663,0.004914
