year,CES0500000006,CES0500000001,CES0600000006,CES0600000001,CES1000000006,CES1000000001,CES2000000006,CES2000000001,CES3000000006,CES3000000001
1948,,39193.9,15381.9,17566.9,897.3,1013.8,2105.2,2236.7,12379.4,14316.5
1949,,37885.7,14283.8,16459.4,829.0,947.5,2099.2,2232.5,11355.5,13279.4
1950,,39163.3,15094.2,17341.6,810.8,924.2,2250.3,2403.3,12033.1,14014.1
1951,,41424.8,16138.9,18702.2,837.7,955.8,2492.5,2676.3,12808.8,15070.1
1952,,42176.8,16107.1,18926.1,801.0,927.9,2509.1,2708.4,12797.0,15289.8
1953,,43547.2,16696.7,19729.5,771.3,901.8,2490.1,2699.1,13435.2,16128.7
1954,,42229.3,15453.7,18510.7,690.8,825.1,2465.2,2686.4,12297.6,14999.2
1955,,43715.5,16046.1,19228.8,687.4,828.2,2625.8,2879.2,12732.8,15521.3
1956,,45082.2,16377.7,19794.2,708.4,858.6,2802.2,3079.7,12867.0,15855.9
1957,,45232.3,16068.6,19666.7,701.5,864.2,2728.0,3005.4,12639.1,15797.0
1958,,43479.2,14733.1,18317.8,629.7,801.0,2571.7,2860.6,11531.8,14656.2
1959,,45180.4,15431.9,19162.7,614.8,788.7,2728.5,3048.3,12088.7,15325.7
1960,,45829.0,15321.1,19180.0,596.0,770.5,2650.6,2972.2,12074.5,15437.2
1961,,45396.2,14749.1,18645.4,555.7,727.9,2581.6,2907.8,11611.8,15009.8
1962,,46653.5,15180.2,19202.9,537.9,708.3,2656.1,2997.5,11986.2,15497.1
1963,,47424.0,15295.2,19386.7,524.5,693.9,2719.7,3060.8,12051.1,15631.9
1964,40576.1,48681.7,15619.9,19735.1,526.3,697.2,2795.4,3149.2,12298.2,15888.7
1965,42303.2,50685.7,16337.1,20598.0,523.7,694.2,2907.9,3285.7,12905.5,16618.2
1966,44293.2,53112.1,17197.8,21742.7,516.8,689.8,2978.1,3372.1,13703.0,17680.8
1967,45186.0,54407.3,17119.0,21882.6,501.5,679.6,2903.2,3305.8,13714.2,17897.2
1968,46519.0,56051.2,17383.8,22291.3,491.2,671.2,2985.2,3409.3,13907.4,18210.8
1969,48246.6,58181.8,17824.1,22891.3,501.2,682.9,3176.1,3636.1,14146.8,18572.3
1970,48178.8,58317.9,17140.0,22176.9,495.6,677.9,3156.2,3651.9,13488.2,17847.1
1971,48145.0,58317.5,16742.2,21598.1,473.7,658.5,3237.5,3768.6,13031.1,17171.0
