Region,Country,Study,Year_Start,Rate_Start,Year_End,Rate_End
North,USA,Shaikh and Tonak (1994),1948,170%,1989,244%
North,USA,Mohun (2005),1980,200%,2001,300%
North,USA,Venida (2007),1947,100%,1967,112%
South,Greece,Tsoulfidis and Tsaliki (2014),1970,150%,2006,200%
South,Turkey,Karahanoğulları (2009),1988,254%,2006,312%
South,Turkey,Tonak (1980),1950,376%,1975,352%
South,Philippines,Venida (2007),1961,137%,1994,243%
South,Mexico,Venida (2007),1970,217%,1976,292%
South,Puerto Rico,Venida (2007),1948,97%,1963,93%

Manufacturing_Sector_Average_1969-1977,Study,Country,Rate
North,Amsden (1981),USA,249%
North,Amsden (1981),Germany,259%
North,Amsden (1981),Sweden,220%
North,Amsden (1981),Canada,202%
South,Amsden (1981),Egypt,262%
South,Amsden (1981),Turkey,388%
South,Amsden (1981),India,244%
South,Amsden (1981),South Korea,465%
South,Amsden (1981),Bolivia,346%
South,Amsden (1981),Panama,402%
South,Amsden (1981),Puerto Rico,303%
South,Amsden (1981),Malawi,352%
