row_number,1953,1954,1955,1956,1957,1958,1959,1960,1961
1,605.61,596.59,653.31,687.44,717.68,711.79,774.37,796.20,812.01
2,268.66,261.36,287.18,303.11,314.63,308.00,334.93,343.72,347.54
3,336.95,335.23,366.14,384.33,403.05,403.79,439.44,452.48,464.47
4,321.91,320.15,349.07,365.79,383.25,383.87,417.99,430.69,442.67
5,15.04,15.08,17.07,18.54,19.79,19.92,21.44,21.78,21.80
6,605.37,596.63,652.91,687.21,717.30,711.67,774.29,795.67,811.42
7,268.66,261.36,287.18,303.11,314.63,308.00,334.93,343.72,347.54
8,336.71,335.26,365.74,384.10,402.67,403.67,439.36,451.95,463.88
9,34.07,35.16,37.96,40.31,42.56,43.93,47.60,49.10,50.66
10,204.41,209.09,224.27,234.18,246.03,251.64,269.19,279.74,286.69
11,50.96,49.97,65.31,67.95,66.06,58.40,74.79,72.55,71.27
12,-2.69,-1.55,-1.85,-0.24,1.09,-2.03,-4.14,-0.37,0.48
13,49.96,42.59,40.05,41.89,46.93,51.73,51.92,50.93,54.77
14,302.64,300.10,327.78,343.79,360.11,359.74,391.75,402.85,413.22
15,321.68,320.18,348.67,365.56,382.88,383.75,417.91,430.16,442.08
16,2337.35,2268.55,2400.42,2445.57,2464.96,2396.20,2547.01,2574.98,2600.71
17,1300.05,1274.76,1344.63,1366.90,1383.76,1359.16,1445.26,1462.61,1486.80
18,1434.36,1416.35,1492.28,1523.84,1549.83,1538.38,1631.25,1667.96,1710.90
19,371.50,372.50,405.90,428.20,451.00,456.90,495.90,515.40,533.80
20,25.90,26.30,27.20,28.10,29.10,29.70,30.40,30.90,31.20
21,1.63,1.60,1.61,1.60,1.59,1.56,1.56,1.54,1.52
22,0.83,0.82,0.83,0.83,0.83,0.82,0.82,0.82,0.82
23,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18
24,0.50,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.49
25,0.50,0.50,0.50,0.50,0.50,0.51,0.51,0.51,0.51
26,698.29,695.08,759.29,802.66,841.93,845.30,918.12,949.79,975.53
27,326.79,322.58,353.39,374.46,390.93,388.40,422.22,434.39,441.73
28,371.50,372.50,405.90,428.20,451.00,456.90,495.90,515.40,533.80
29,232.6,239.8,257.9,270.6,285.3,294.6,316.3,330.7,341.1
30,54.9,54.1,69.7,72.7,71.1,63.6,80.2,78.2,77.1
31,1.3,2.6,3.0,5.3,7.3,3.3,1.5,5.9,7.2
32,82.7,76.0,75.3,79.6,87.3,95.4,97.9,100.6,108.4
33,340.70,340.00,371.50,390.10,409.90,414.00,451.20,468.90,486.10
34,0.87,0.86,0.86,0.86,0.85,0.84,0.84,0.84,0.83
35,0.91,0.90,0.90,0.90,0.89,0.88,0.89,0.88,0.87
36,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.92,0.91
