Category,Sector
Primary sectors,Production (goods/services, private/public)
Primary sectors,Trade (wholesale/retail, building/equipment rentals)
Secondary sectors,Finance, ground rent, royalties (private)
Secondary sectors,General government (public)
Foreign trade sectors,
Noncapitalist labor activities,
