Variable,Typical relative levels 1967,Change in relative levels 1948-89,Change in relative levels 1972-82
TP*/GP,82%,-12%,
TP*/GNP,147%,-14%,
Lp/L,44%,-37%,
V*/W,42%,-33%,
S*/P,224%,+34%,
C*/V*,245%,+23%,
M/EC,136%,-12%,
S*/V*,210%,+44%,
P+/EC,58%,-27%,
q*/y,306%,+49%a,+19%b
