Year,total_product_tp,productive_labor_share_lpl,productive_employment_lp,surplus_ratio_sy,variable_capital_v,exploitation_rate_e,surplus_value_s,marxian_profit_rate_r
1929,150.9026527857078,,,,,,,
1930,133.01186427111625,,,,,,,
1931,111.69619344407506,,,,,,,
1932,85.90638221728929,,,,,,,
1933,82.48871626032312,,,,,,,
1934,96.41050925901222,,,,,,,
1935,107.14988948949589,,,,,,,
1936,122.43268713236536,,,,,,,
1937,134.22854180562743,,,,,,,
1938,126.07261683822207,,,,,,,
1939,134.8549214615917,,,,,,,
1940,148.5111525784895,,,,,,,
1941,186.6279422421199,,,,,,,
1942,239.51372503819752,,,,,,,
1943,293.1052674005574,,,,,,,
1944,323.9378678391843,,,,,,,
1945,329.07591294340716,,,,,,,
1946,328.3946889857686,,,,,,,
1947,360.2635580718202,,,,,,,
1948,446.21,0.57,17331.95,0.5698,1294.16236,1.7,1673.13603,1.865
1949,431.96,0.565,18923.6,0.5674,1488.86644,1.713,1930.38074,1.783
1950,481.62,0.56,19851.89,0.5691,1599.6856,1.726,2109.77521,1.924
1951,551.62,0.555,21496.78,0.5712,1862.80472,1.739,2530.99844,2.012
1952,573.95,0.55,22084.52,0.5708,1972.74317,1.752,2702.33027,1.956
1953,605.37,0.545,22734.47,0.567,2116.58773,1.765,2956.86756,1.984
1954,596.63,0.54,23093.6,0.5678,2240.89618,1.778,3175.84351,1.882
1955,652.91,0.535,23421.29,0.5631,2306.07748,1.791,3296.17155,2.053
1956,687.21,0.53,24032.93,0.5707,2460.52156,1.804,3585.52063,1.987
1957,717.3,0.525,25684.62,0.5769,2777.26247,1.817,4145.32363,1.935
1958,711.67,0.52,27486.32,0.5751,3040.59794,1.83,4611.54189,1.834
1959,774.29,0.519,29627.11,0.571,3331.70769,1.86,5143.686360000001,1.958
1960,795.67,0.518,30542.16,0.5796,3576.3957400000004,1.89,5621.6113,1.912
1961,811.42,0.517,32158.34,0.5727,3856.08869,1.92,6129.09932,1.886
1962,871.623167256305,0.516,32403.43,0.5744,3980.04051,1.95,6401.61038,1.984
1963,920.0131605861876,0.514,32285.48,0.5823,4158.69633,1.98,6787.85833,2.032
1964,987.8613348416691,0.513,32609.14,0.5788,4255.8359900000005,2.01,7045.30407,2.0980000000000003
